i,t,value
Heavy Industry and Manufacturing,0,2.5697851525014137
Heavy Industry and Manufacturing,1,2.8559235279209227
Heavy Industry and Manufacturing,2,3.1320756239689107
Heavy Industry and Manufacturing,3,3.398584935942739
Heavy Industry and Manufacturing,4,3.655785652630894
Heavy Industry and Manufacturing,5,3.904002523009309
Heavy Industry and Manufacturing,6,4.143550787688355
Heavy Industry and Manufacturing,7,4.374736166074711
Heavy Industry and Manufacturing,8,4.597854891080377
Heavy Industry and Manufacturing,9,4.813193784081382
Heavy Industry and Manufacturing,10,5.021030363648005
Primary and Light Industry,0,1.7783843006150768
Primary and Light Industry,1,1.708282557071894
Primary and Light Industry,2,1.6487785902626007
Primary and Light Industry,3,1.5990109948948117
Primary and Light Industry,4,1.558178439674407
Primary and Light Industry,5,1.525535832132796
Primary and Light Industry,6,1.5003906921379428
Primary and Light Industry,7,1.4820997301718153
Primary and Light Industry,8,1.4700656244839294
Primary and Light Industry,9,1.4637339897658697
Primary and Light Industry,10,1.4625905292767083
Social and Professional Services,0,0.936462340579558
Social and Professional Services,1,1.0965530750974173
Social and Professional Services,2,1.2481631265384596
Social and Professional Services,3,1.3918400211573534
Social and Professional Services,4,1.5280899989655428
Social and Professional Services,5,1.6573815815099868
Social and Professional Services,6,1.7801487805698013
Social and Professional Services,7,1.896793991213963
Social and Professional Services,8,2.0076906062334032
Social and Professional Services,9,2.1131853836739767
Social and Professional Services,10,2.213600594841436
Trade and Finance,0,0.7313027007623596
Trade and Finance,1,0.9524761823781702
Trade and Finance,2,1.164250065293726
Trade and Finance,3,1.3670769978928465
Trade and Finance,4,1.5613871425489867
Trade and Finance,5,1.747589054532428
Trade and Finance,6,1.9260705809357903
Trade and Finance,7,2.0971997666124453
Trade and Finance,8,2.26132575678728
Trade and Finance,9,2.418779688191375
Trade and Finance,10,2.5698755624317116
Utilities and Transport,0,1.3848111014691078
Utilities and Transport,1,1.589183434991659
Utilities and Transport,2,1.782292231831506
Utilities and Transport,3,1.9650334047357276
Utilities and Transport,4,2.1382086995711314
Utilities and Transport,5,2.30253759558392
Utilities and Transport,6,2.4586674709079492
Utilities and Transport,7,2.6071823216381684
Utilities and Transport,8,2.74861026837816
Utilities and Transport,9,2.8834300415900183
Utilities and Transport,10,3.0120766027498913
