i,t,value
Heavy Industry and Manufacturing,0,-12.28144058950129
Heavy Industry and Manufacturing,1,-11.848483883473104
Heavy Industry and Manufacturing,2,-11.433496332911053
Heavy Industry and Manufacturing,3,-11.035770965436642
Heavy Industry and Manufacturing,4,-10.654618118370273
Heavy Industry and Manufacturing,5,-10.289366754022089
Heavy Industry and Manufacturing,6,-9.939365425058455
Heavy Industry and Manufacturing,7,-9.603982947158263
Heavy Industry and Manufacturing,8,-9.282608827080852
Heavy Industry and Manufacturing,9,-8.974653486836903
Heavy Industry and Manufacturing,10,-8.679548318419428
Primary and Light Industry,0,-11.022379922629577
Primary and Light Industry,1,-11.262811208749978
Primary and Light Industry,2,-11.481482717856418
Primary and Light Industry,3,-11.680011980627182
Primary and Light Industry,4,-11.85990206958113
Primary and Light Industry,5,-12.02254973226875
Primary and Light Industry,6,-12.169252929648433
Primary and Light Industry,7,-12.301217823915822
Primary and Light Industry,8,-12.419565257172938
Primary and Light Industry,9,-12.525336759328521
Primary and Light Industry,10,-12.619500120851047
Social and Professional Services,0,-13.759316864237892
Social and Professional Services,1,-13.364897389628371
Social and Professional Services,2,-12.997458490612491
Social and Professional Services,3,-12.65516009495784
Social and Professional Services,4,-12.33628364879078
Social and Professional Services,5,-12.039224845288853
Social and Professional Services,6,-11.762486662998374
Social and Professional Services,7,-11.504672722423182
Social and Professional Services,8,-11.264480964493062
Social and Professional Services,9,-11.040697650637366
Social and Professional Services,10,-10.832191680871128
Trade and Finance,0,-14.817427872380174
Trade and Finance,1,-14.328609927001256
Trade and Finance,2,-13.865930862506193
Trade and Finance,3,-13.42805577717925
Trade and Finance,4,-13.013698204482294
Trade and Finance,5,-12.621621861940202
Trade and Finance,6,-12.250641624363789
Trade and Finance,7,-11.899623864986298
Trade and Finance,8,-11.567486284720975
Trade and Finance,9,-11.253197330418674
Trade and Finance,10,-10.955775286596591
Utilities and Transport,0,-14.875308738652016
Utilities and Transport,1,-14.306002570606168
Utilities and Transport,2,-13.778138964238451
Utilities and Transport,3,-13.288182587737607
Utilities and Transport,4,-12.832942307214823
Utilities and Transport,5,-12.409533521449257
Utilities and Transport,6,-12.015345099933207
Utilities and Transport,7,-11.64801029428516
Utilities and Transport,8,-11.305381090261834
Utilities and Transport,9,-10.985505548363028
Utilities and Transport,10,-10.686607747043153
