h,j,t,value
CAP,Heavy Industry and Manufacturing,0,-1.0547118733938987e-12
CAP,Heavy Industry and Manufacturing,1,0.4212898377092822
CAP,Heavy Industry and Manufacturing,2,0.828986764111761
CAP,Heavy Industry and Manufacturing,3,1.2234337356016756
CAP,Heavy Industry and Manufacturing,4,1.6049791135209546
CAP,Heavy Industry and Manufacturing,5,1.9739742937304738
CAP,Heavy Industry and Manufacturing,6,2.3307716947427393
CAP,Heavy Industry and Manufacturing,7,2.675723054347956
CAP,Heavy Industry and Manufacturing,8,3.009177992241785
CAP,Heavy Industry and Manufacturing,9,3.331482802405006
CAP,Heavy Industry and Manufacturing,10,3.6429794441719343
CAP,Primary and Light Industry,0,5.773159728050814e-13
CAP,Primary and Light Industry,1,-0.17667051211359697
CAP,Primary and Light Industry,2,-0.33345042790969837
CAP,Primary and Light Industry,3,-0.47194937715538954
CAP,Primary and Light Industry,4,-0.5936525026091877
CAP,Primary and Light Industry,5,-0.6999307487972617
CAP,Primary and Light Industry,6,-0.7920501608662533
CAP,Primary and Light Industry,7,-0.8711803109103466
CAP,Primary and Light Industry,8,-0.938401951893808
CAP,Primary and Light Industry,9,-0.9947139850670639
CAP,Primary and Light Industry,10,-1.0410398149998445
CAP,Social and Professional Services,0,9.547918011776346e-13
CAP,Social and Professional Services,1,0.37848830571913794
CAP,Social and Professional Services,2,0.737177069663808
CAP,Social and Professional Services,3,1.0772864966185791
CAP,Social and Professional Services,4,1.399953700090184
CAP,Social and Professional Services,5,1.706238609526678
CAP,Social and Professional Services,6,1.9971294643797544
CAP,Social and Professional Services,7,2.273547919071328
CAP,Social and Professional Services,8,2.536353783082479
CAP,Social and Professional Services,9,2.78634941996192
CAP,Social and Professional Services,10,3.0242838282649176
CAP,Trade and Finance,0,4.440892098500626e-13
CAP,Trade and Finance,1,0.319808084684281
CAP,Trade and Finance,2,0.6265705422796808
CAP,Trade and Finance,3,0.920830061371869
CAP,Trade and Finance,4,1.2031145070738658
CAP,Trade and Finance,5,1.4739355299755674
CAP,Trade and Finance,6,1.7337876200302471
CAP,Trade and Finance,7,1.9831475153928357
CAP,Trade and Finance,8,2.2224738937678845
CAP,Trade and Finance,9,2.452207287754571
CAP,Trade and Finance,10,2.6727701768065604
CAP,Utilities and Transport,0,1.4432899320127035e-12
CAP,Utilities and Transport,1,0.3506207297996333
CAP,Utilities and Transport,2,0.6792836478711983
CAP,Utilities and Transport,3,0.9879132828307213
CAP,Utilities and Transport,4,1.2782228141689833
CAP,Utilities and Transport,5,1.551740910384547
CAP,Utilities and Transport,6,1.8098347400849146
CAP,Utilities and Transport,7,2.0537297660545573
CAP,Utilities and Transport,8,2.2845268234902294
CAP,Utilities and Transport,9,2.503216896451854
CAP,Utilities and Transport,10,2.7106939363624516
LAB,Heavy Industry and Manufacturing,0,2.3095997102753563
LAB,Heavy Industry and Manufacturing,1,2.3979690172901025
LAB,Heavy Industry and Manufacturing,2,2.481097012208866
LAB,Heavy Industry and Manufacturing,3,2.559376097871202
LAB,Heavy Industry and Manufacturing,4,2.633163470728239
LAB,Heavy Industry and Manufacturing,5,2.7027848148781786
LAB,Heavy Industry and Manufacturing,6,2.768537541676519
LAB,Heavy Industry and Manufacturing,7,2.8306936413124317
LAB,Heavy Industry and Manufacturing,8,2.889502201152605
LAB,Heavy Industry and Manufacturing,9,2.945191636393729
LAB,Heavy Industry and Manufacturing,10,2.9979716712381643
LAB,Primary and Light Industry,0,-7.395436913661513
LAB,Primary and Light Industry,1,-7.325654062958298
LAB,Primary and Light Industry,2,-7.2610230714293404
LAB,Primary and Light Industry,3,-7.201080731046838
LAB,Primary and Light Industry,4,-7.145414024547936
LAB,Primary and Light Industry,5,-7.093653670425082
LAB,Primary and Light Industry,6,-7.045468632619278
LAB,Primary and Light Industry,7,-7.000561430509922
LAB,Primary and Light Industry,8,-6.958664116206103
LAB,Primary and Light Industry,9,-6.919534811244688
LAB,Primary and Light Industry,10,-6.882954714245515
LAB,Social and Professional Services,0,1.6149208144530691
LAB,Social and Professional Services,1,1.5624522862534906
LAB,Social and Professional Services,2,1.5132737963033271
LAB,Social and Professional Services,3,1.4671493601967178
LAB,Social and Professional Services,4,1.4238609240026845
LAB,Social and Professional Services,5,1.3832070705456
LAB,Social and Professional Services,6,1.3450017808545045
LAB,Social and Professional Services,7,1.30907326194174
LAB,Social and Professional Services,8,1.2752628464884896
LAB,Social and Professional Services,9,1.243423966242574
LAB,Social and Professional Services,10,1.2134211984558663
LAB,Trade and Finance,0,0.6625270739652134
LAB,Trade and Finance,1,0.6644705704696552
LAB,Trade and Finance,2,0.6650461440422584
LAB,Trade and Finance,3,0.6644938170466963
LAB,Trade and Finance,4,0.6630161549642022
LAB,Trade and Finance,5,0.6607842498970617
LAB,Trade and Finance,6,0.6579426761784246
LAB,Trade and Finance,7,0.6546136115761936
LAB,Trade and Finance,8,0.6509002775582307
LAB,Trade and Finance,9,0.6468898211457574
LAB,Trade and Finance,10,0.6426557367415597
LAB,Utilities and Transport,0,1.1626235258334283
LAB,Utilities and Transport,1,1.048987531680834
LAB,Utilities and Transport,2,0.948093740848921
LAB,Utilities and Transport,3,0.8582723210225796
LAB,Utilities and Transport,4,0.778094028288856
LAB,Utilities and Transport,5,0.7063323862419146
LAB,Utilities and Transport,6,0.6419323949802935
LAB,Utilities and Transport,7,0.5839845252027853
LAB,Utilities and Transport,8,0.5317030140935763
LAB,Utilities and Transport,9,0.4844076819156218
LAB,Utilities and Transport,10,0.44150864348138086
