h,t,value
CAP,1,-1.9607843137254943
CAP,2,-3.8831218762014563
CAP,3,-5.767766545295561
CAP,4,-7.615457397348568
CAP,5,-9.426919017008405
CAP,6,-11.202861781380802
CAP,7,-12.943982138608634
CAP,8,-14.65096288098886
CAP,9,-16.324473412734164
CAP,10,-17.96517001248449
LAB,0,6.0174087934683484e-12
LAB,1,1.1923795284474181e-11
LAB,2,1.7696955012524995e-11
LAB,3,2.3359092438113294e-11
LAB,4,2.893241202173158e-11
LAB,5,3.4372504842394846e-11
LAB,6,3.9679370900103095e-11
LAB,7,4.4919623576333834e-11
LAB,8,5.0026649489609554e-11
LAB,9,5.975220318532593e-11
LAB,10,6.465938895416912e-11
