j,t,value
Heavy Industry and Manufacturing,0,3.3856389249128593
Heavy Industry and Manufacturing,1,3.5691464317618715
Heavy Industry and Manufacturing,2,3.74516483480245
Heavy Industry and Manufacturing,3,3.9141136511386954
Heavy Industry and Manufacturing,4,4.076378735130359
Heavy Industry and Manufacturing,5,4.23231587221109
Heavy Industry and Manufacturing,6,4.38225389750424
Heavy Industry and Manufacturing,7,4.526497415151631
Heavy Industry and Manufacturing,8,4.665329179733324
Heavy Industry and Manufacturing,9,4.799012189890939
Heavy Industry and Manufacturing,10,4.927791535485793
Primary and Light Industry,0,-6.421470231967352
Primary and Light Industry,1,-6.265690648605027
Primary and Light Industry,2,-6.117120829421852
Primary and Light Industry,3,-5.975271978892183
Primary and Light Industry,4,-5.839703946852326
Primary and Light Industry,5,-5.7100189190349315
Primary and Light Industry,6,-5.58585607799853
Primary and Light Industry,7,-5.466887064360282
Primary and Light Industry,8,-5.352812101657434
Primary and Light Industry,9,-5.243356674576938
Primary and Light Industry,10,-5.138268670659363
Social and Professional Services,0,2.6836537573858843
Social and Professional Services,1,2.7240734728606775
Social and Professional Services,2,2.765403864317273
Social and Professional Services,3,2.8074593629612288
Social and Professional Services,4,2.850071120688935
Social and Professional Services,5,2.8930859329924674
Social and Professional Services,6,2.936365157888443
Social and Professional Services,7,2.97978365665148
Social and Professional Services,8,3.0232287728280127
Social and Professional Services,9,3.066599359591371
Social and Professional Services,10,3.1098048610458395
Trade and Finance,0,1.7212432343532313
Trade and Finance,1,1.8158210855563794
Trade and Finance,2,1.90671362614796
Trade and Finance,3,1.9942013020500804
Trade and Finance,4,2.0785274435453083
Trade and Finance,5,2.1599042206283725
Trade and Finance,6,2.2385175517783518
Trade and Finance,7,2.3145311670507374
Trade and Finance,8,2.3880899840638126
Trade and Finance,9,2.4593229229755265
Trade and Finance,10,2.528345261301679
Utilities and Transport,0,2.2265994408762646
Utilities and Transport,1,2.2047359619291163
Utilities and Transport,2,2.1932525142251302
Utilities and Transport,3,2.1905394843931836
Utilities and Transport,4,2.195223528155288
Utilities and Transport,5,2.206130695825159
Utilities and Transport,6,2.2222558701686657
Utilities and Transport,7,2.2427373207503543
Utilities and Transport,8,2.266835428925029
Utilities and Transport,9,2.2939148313575908
Utilities and Transport,10,2.3234293787157467
