j,t,value
Heavy Industry and Manufacturing,0,-1.0658141036401503e-12
Heavy Industry and Manufacturing,1,0.538347258901517
Heavy Industry and Manufacturing,2,1.0518391720996334
Heavy Industry and Manufacturing,3,1.5418163291392784
Heavy Industry and Manufacturing,4,2.009541448348018
Heavy Industry and Manufacturing,5,2.456203584688521
Heavy Industry and Manufacturing,6,2.8829222135570376
Heavy Industry and Manufacturing,7,3.290751170818007
Heavy Industry and Manufacturing,8,3.6806824359803647
Heavy Industry and Manufacturing,9,4.0536497504781055
Heavy Industry and Manufacturing,10,4.410532066889616
Primary and Light Industry,0,5.773159728050814e-13
Primary and Light Industry,1,-0.2565612924334659
Primary and Light Industry,2,-0.48360423207179926
Primary and Light Industry,3,-0.6837140124176466
Primary and Light Industry,4,-0.8592580048243148
Primary and Light Industry,5,-1.0124050423438224
Primary and Light Industry,6,-1.145142789084197
Primary and Light Industry,7,-1.259293419006613
Primary and Light Industry,8,-1.3565277967476974
Primary and Light Industry,9,-1.4383783268633654
Primary and Light Industry,10,-1.5062506158874833
Social and Professional Services,0,9.547918011776346e-13
Social and Professional Services,1,0.46861110793865457
Social and Professional Services,2,0.9069516809548039
Social and Professional Services,3,1.3174374935164934
Social and Professional Services,4,1.7022660074447638
Social and Professional Services,5,2.063437925822531
Social and Professional Services,6,2.4027764059059376
Social and Professional Services,7,2.72194421846208
Social and Professional Services,8,3.0224591001002388
Social and Professional Services,9,3.3057075110459078
Social and Professional Services,10,3.5729569821547846
Trade and Finance,0,4.218847493575595e-13
Trade and Finance,1,0.29565377707694296
Trade and Finance,2,0.5811945356978709
Trade and Finance,3,0.8568182014661696
Trade and Finance,4,1.122747509073574
Trade and Finance,5,1.3792254521783676
Trade and Finance,6,1.6265098492724839
Trade and Finance,7,1.864868842352152
Trade and Finance,8,2.094577176723811
Trade and Finance,9,2.315913135925385
Trade and Finance,10,2.529156026715751
Utilities and Transport,0,1.4432899320127035e-12
Utilities and Transport,1,0.3098098795723203
Utilities and Transport,2,0.602088046982141
Utilities and Transport,3,0.8782831763477494
Utilities and Transport,4,1.139685428869619
Utilities and Transport,5,1.3874470293456787
Utilities and Transport,6,1.6225998439949096
Utilities and Transport,7,1.846070441033687
Utilities and Transport,8,2.058693030646719
Utilities and Transport,9,2.2612206125676826
Utilities and Transport,10,2.4543346039759273
