i,t,value
Heavy Industry and Manufacturing,0,7.274042301587436
Heavy Industry and Manufacturing,1,7.549464627674141
Heavy Industry and Manufacturing,2,7.813902762385205
Heavy Industry and Manufacturing,3,8.067926157003935
Heavy Industry and Manufacturing,4,8.312063702378602
Heavy Industry and Manufacturing,5,8.546807562504988
Heavy Industry and Manufacturing,6,8.772616555022505
Heavy Industry and Manufacturing,7,8.989919143099613
Heavy Industry and Manufacturing,8,9.199116092415638
Heavy Industry and Manufacturing,9,9.40058283821703
Heavy Industry and Manufacturing,10,9.59467160033125
Primary and Light Industry,0,3.1956420815761444
Primary and Light Industry,1,3.1052842193382446
Primary and Light Industry,2,3.029047174065802
Primary and Light Industry,3,2.965698956131191
Primary and Light Industry,4,2.914098775680052
Primary and Light Industry,5,2.8731912495822076
Primary and Light Industry,6,2.8420008332518787
Primary and Light Industry,7,2.819626501185901
Primary and Light Industry,8,2.80523668974757
Primary and Light Industry,9,2.798064508147946
Primary and Light Industry,10,2.797403218041117
Social and Professional Services,0,1.65179974351235
Social and Professional Services,1,1.8198481469632544
Social and Professional Services,2,1.9779995539307205
Social and Professional Services,3,2.1270211085891333
Social and Professional Services,4,2.2676075042175947
Social and Professional Services,5,2.400388991916791
Social and Professional Services,6,2.525938354075441
Social and Professional Services,7,2.6447769995390003
Social and Professional Services,8,2.7573803099185
Social and Professional Services,9,2.86418234438206
Social and Professional Services,10,2.9655799924360737
Trade and Finance,0,0.6771154262753765
Trade and Finance,1,0.8907575550656244
Trade and Finance,2,1.09599687845634
Trade and Finance,3,1.2931653430767742
Trade and Finance,4,1.482586768845806
Trade and Finance,5,1.6645760579357072
Trade and Finance,6,1.839438607393351
Trade and Finance,7,2.007469895322589
Trade and Finance,8,2.1689552137998724
Trade and Finance,9,2.3241695248569227
Trade and Finance,10,2.4733774188467006
Utilities and Transport,0,1.4079851219349848
Utilities and Transport,1,1.593425954284866
Utilities and Transport,2,1.7697273914935918
Utilities and Transport,3,1.9375543596649614
Utilities and Transport,4,2.097503697607883
Utilities and Transport,5,2.250112866953047
Utilities and Transport,6,2.395867369358906
Utilities and Transport,7,2.5352070870760857
Utilities and Transport,8,2.6685317228279715
Utilities and Transport,9,2.7962054829415495
Utilities and Transport,10,2.9185611221199004
