i,t,value
Heavy Industry and Manufacturing,0,-100.00000000000071
Heavy Industry and Manufacturing,1,-99.99999999999594
Heavy Industry and Manufacturing,2,-99.9999999999949
Heavy Industry and Manufacturing,3,-99.99999999999709
Heavy Industry and Manufacturing,4,-99.99999999999656
Heavy Industry and Manufacturing,5,-99.99999999999531
Heavy Industry and Manufacturing,6,-99.99999999999348
Heavy Industry and Manufacturing,7,-100.00000000000036
Heavy Industry and Manufacturing,8,-99.99999999999253
Heavy Industry and Manufacturing,9,-99.99999999999561
Heavy Industry and Manufacturing,10,-99.99999999999602
Primary and Light Industry,0,-100.00000000000082
Primary and Light Industry,1,-99.99999999999525
Primary and Light Industry,2,-99.99999999999403
Primary and Light Industry,3,-99.99999999999659
Primary and Light Industry,4,-99.99999999999598
Primary and Light Industry,5,-99.99999999999453
Primary and Light Industry,6,-99.99999999999237
Primary and Light Industry,7,-100.00000000000043
Primary and Light Industry,8,-99.99999999999126
Primary and Light Industry,9,-99.99999999999487
Primary and Light Industry,10,-99.99999999999534
Social and Professional Services,0,-100.00000000000256
Social and Professional Services,1,-99.99999999998533
Social and Professional Services,2,-99.99999999998158
Social and Professional Services,3,-99.9999999999895
Social and Professional Services,4,-99.9999999999876
Social and Professional Services,5,-99.99999999998312
Social and Professional Services,6,-99.99999999997647
Social and Professional Services,7,-100.00000000000131
Social and Professional Services,8,-99.99999999997306
Social and Professional Services,9,-99.9999999999842
Social and Professional Services,10,-99.99999999998562
Trade and Finance,0,-100.00000000000338
Trade and Finance,1,-99.99999999998053
Trade and Finance,2,-99.99999999997556
Trade and Finance,3,-99.99999999998606
Trade and Finance,4,-99.99999999998353
Trade and Finance,5,-99.99999999997759
Trade and Finance,6,-99.99999999996876
Trade and Finance,7,-100.00000000000173
Trade and Finance,8,-99.99999999996425
Trade and Finance,9,-99.99999999997902
Trade and Finance,10,-99.99999999998093
Utilities and Transport,0,-100.00000000000237
Utilities and Transport,1,-99.99999999998627
Utilities and Transport,2,-99.99999999998278
Utilities and Transport,3,-99.99999999999018
Utilities and Transport,4,-99.9999999999884
Utilities and Transport,5,-99.9999999999842
Utilities and Transport,6,-99.99999999997797
Utilities and Transport,7,-100.00000000000122
Utilities and Transport,8,-99.99999999997479
Utilities and Transport,9,-99.9999999999852
Utilities and Transport,10,-99.99999999998654
