j,t,value
Heavy Industry and Manufacturing,0,1.240817168674413
Heavy Industry and Manufacturing,1,1.5755998467629873
Heavy Industry and Manufacturing,2,1.893871356065291
Heavy Industry and Manufacturing,3,2.1966786521262938
Heavy Industry and Manufacturing,4,2.484985552941388
Heavy Industry and Manufacturing,5,2.759680797026798
Heavy Industry and Manufacturing,6,3.021585145412997
Heavy Industry and Manufacturing,7,3.2714576680436425
Heavy Industry and Manufacturing,8,3.510001329746548
Heavy Industry and Manufacturing,9,3.737867970998776
Heavy Industry and Manufacturing,10,3.955662762745793
Primary and Light Industry,0,-4.786957394475766
Primary and Light Industry,1,-4.693390063123348
Primary and Light Industry,2,-4.600864829471075
Primary and Light Industry,3,-4.509350931456413
Primary and Light Industry,4,-4.418838805131631
Primary and Light Industry,5,-4.329334586326439
Primary and Light Industry,6,-4.240855726575921
Primary and Light Industry,7,-4.153427509438535
Primary and Light Industry,8,-4.0670802952358365
Primary and Light Industry,9,-3.981847355478474
Primary and Light Industry,10,-3.8977631847564864
Social and Professional Services,0,2.311278287293761
Social and Professional Services,1,2.388096470125034
Social and Professional Services,2,2.465086511904979
Social and Professional Services,3,2.5420007717361193
Social and Professional Services,4,2.6186241625853146
Social and Professional Services,5,2.6947702914800864
Social and Professional Services,6,2.770278098063983
Social and Professional Services,7,2.845008917685199
Social and Professional Services,8,2.9188439074973482
Social and Professional Services,9,2.991681784097988
Social and Professional Services,10,3.0634368294991665
Trade and Finance,0,0.7041039758602485
Trade and Finance,1,0.8788929782609367
Trade and Finance,2,1.0461564817092706
Trade and Finance,3,1.2064033783866002
Trade and Finance,4,1.3600890289774625
Trade and Finance,5,1.5076225425718182
Trade and Finance,6,1.6493729129567924
Trade and Finance,7,1.7856742114912727
Trade and Finance,8,1.916829998155234
Trade and Finance,9,2.043117081875545
Trade and Finance,10,2.1647887368571705
Utilities and Transport,0,0.7520683312418397
Utilities and Transport,1,0.8740481934151445
Utilities and Transport,2,0.9932458182077886
Utilities and Transport,3,1.1095831389077881
Utilities and Transport,4,1.22301319553495
Utilities and Transport,5,1.3335139875683355
Utilities and Transport,6,1.4410835007734102
Utilities and Transport,7,1.545735673631654
Utilities and Transport,8,1.6474971186584142
Utilities and Transport,9,1.7464044523993305
Utilities and Transport,10,1.8425021177418621
