i,j,t,value
Heavy Industry and Manufacturing,Heavy Industry and Manufacturing,0,0.8288296547231733
Heavy Industry and Manufacturing,Heavy Industry and Manufacturing,1,1.1314072478804338
Heavy Industry and Manufacturing,Heavy Industry and Manufacturing,2,1.4231203000304005
Heavy Industry and Manufacturing,Heavy Industry and Manufacturing,3,1.7043502521408405
Heavy Industry and Manufacturing,Heavy Industry and Manufacturing,4,1.9754686873736604
Heavy Industry and Manufacturing,Heavy Industry and Manufacturing,5,2.2368370299159057
Heavy Industry and Manufacturing,Heavy Industry and Manufacturing,6,2.488806343305461
Heavy Industry and Manufacturing,Heavy Industry and Manufacturing,7,2.731717213750029
Heavy Industry and Manufacturing,Heavy Industry and Manufacturing,8,2.9658997057019354
Heavy Industry and Manufacturing,Heavy Industry and Manufacturing,9,3.191673378509141
Heavy Industry and Manufacturing,Heavy Industry and Manufacturing,10,3.409347354390735
Heavy Industry and Manufacturing,Primary and Light Industry,0,-1.7702655122691646
Heavy Industry and Manufacturing,Primary and Light Industry,1,-1.8863123454693098
Heavy Industry and Manufacturing,Primary and Light Industry,2,-1.988722737032822
Heavy Industry and Manufacturing,Primary and Light Industry,3,-2.078568245612289
Heavy Industry and Manufacturing,Primary and Light Industry,4,-2.1568446990536394
Heavy Industry and Manufacturing,Primary and Light Industry,5,-2.224477327673291
Heavy Industry and Manufacturing,Primary and Light Industry,6,-2.2823255663325104
Heavy Industry and Manufacturing,Primary and Light Industry,7,-2.3311875424600226
Heavy Industry and Manufacturing,Primary and Light Industry,8,-2.3718042675482054
Heavy Industry and Manufacturing,Primary and Light Industry,9,-2.404863549639391
Heavy Industry and Manufacturing,Primary and Light Industry,10,-2.4310036438842553
Heavy Industry and Manufacturing,Social and Professional Services,0,0.8137618610928765
Heavy Industry and Manufacturing,Social and Professional Services,1,0.9757256108927637
Heavy Industry and Manufacturing,Social and Professional Services,2,1.1290633147673867
Heavy Industry and Manufacturing,Social and Professional Services,3,1.2743322227676712
Heavy Industry and Manufacturing,Social and Professional Services,4,1.4120477635023443
Heavy Industry and Manufacturing,Social and Professional Services,5,1.5426871252166574
Heavy Industry and Manufacturing,Social and Professional Services,6,1.6666924805180061
Heavy Industry and Manufacturing,Social and Professional Services,7,1.7844738974573504
Heavy Industry and Manufacturing,Social and Professional Services,8,1.8964119733824614
Heavy Industry and Manufacturing,Social and Professional Services,9,2.0028602227979864
Heavy Industry and Manufacturing,Social and Professional Services,10,2.104147246197252
Heavy Industry and Manufacturing,Trade and Finance,0,0.18718183863308813
Heavy Industry and Manufacturing,Trade and Finance,1,0.41729551257789765
Heavy Industry and Manufacturing,Trade and Finance,2,0.6374652241570411
Heavy Industry and Manufacturing,Trade and Finance,3,0.8481702271995406
Heavy Industry and Manufacturing,Trade and Finance,4,1.0498668239094178
Heavy Industry and Manufacturing,Trade and Finance,5,1.2429891092809786
Heavy Industry and Manufacturing,Trade and Finance,6,1.4279497650410367
Heavy Industry and Manufacturing,Trade and Finance,7,1.6051408856083027
Heavy Industry and Manufacturing,Trade and Finance,8,1.7749348218267125
Heavy Industry and Manufacturing,Trade and Finance,9,1.937685030982439
Heavy Industry and Manufacturing,Trade and Finance,10,2.09372692392531
Heavy Industry and Manufacturing,Utilities and Transport,0,0.3092643521616534
Heavy Industry and Manufacturing,Utilities and Transport,1,0.5367058474438524
Heavy Industry and Manufacturing,Utilities and Transport,2,0.7510223709853436
Heavy Industry and Manufacturing,Utilities and Transport,3,0.9532652038655609
Heavy Industry and Manufacturing,Utilities and Transport,4,1.144377933539542
Heavy Industry and Manufacturing,Utilities and Transport,5,1.3252095492553684
Heavy Industry and Manufacturing,Utilities and Transport,6,1.4965257049166292
Heavy Industry and Manufacturing,Utilities and Transport,7,1.659018442634097
Heavy Industry and Manufacturing,Utilities and Transport,8,1.81331461658647
Heavy Industry and Manufacturing,Utilities and Transport,9,1.959983214523553
Heavy Industry and Manufacturing,Utilities and Transport,10,2.099541740053512
Primary and Light Industry,Heavy Industry and Manufacturing,0,0.8288296547231733
Primary and Light Industry,Heavy Industry and Manufacturing,1,1.1314072478804116
Primary and Light Industry,Heavy Industry and Manufacturing,2,1.4231203000304005
Primary and Light Industry,Heavy Industry and Manufacturing,3,1.7043502521408405
Primary and Light Industry,Heavy Industry and Manufacturing,4,1.9754686873736604
