i,t,value
Heavy Industry and Manufacturing,0,2.596903376840265
Heavy Industry and Manufacturing,1,2.6988490078753813
Heavy Industry and Manufacturing,2,2.798665592512939
Heavy Industry and Manufacturing,3,2.8963410203675766
Heavy Industry and Manufacturing,4,2.991869721456153
Heavy Industry and Manufacturing,5,3.0852519692989633
Heavy Industry and Manufacturing,6,3.1764932435911497
Heavy Industry and Manufacturing,7,3.2656036486111484
Heavy Industry and Manufacturing,8,3.352597383370015
Heavy Industry and Manufacturing,9,3.4374922595803215
Heavy Industry and Manufacturing,10,3.520309263618082
Primary and Light Industry,0,2.360091689294541
Primary and Light Industry,1,2.292214312996377
Primary and Light Industry,2,2.2327136079222543
Primary and Light Industry,3,2.180948150838158
Primary and Light Industry,4,2.1363183449550904
Primary and Light Industry,5,2.0982641086504827
Primary and Light Industry,6,2.0662626337402568
Primary and Light Industry,7,2.0398262239979204
Primary and Light Industry,8,2.018500220662034
Primary and Light Industry,9,2.001861018975659
Primary and Light Industry,10,1.9895141775617464
Social and Professional Services,0,0.6929063667514113
Social and Professional Services,1,0.8595383651881949
Social and Professional Services,2,1.016830294608928
Social and Professional Services,3,1.165425009974519
Social and Professional Services,4,1.305913563390515
Social and Professional Services,5,1.4388399884603498
Social and Professional Services,6,1.564705574125158
Social and Professional Services,7,1.6839726920067521
Social and Professional Services,8,1.797068231776855
Social and Professional Services,9,1.9043866912140661
Social and Professional Services,10,2.006292961089251
Trade and Finance,0,-0.08052689383459821
Trade and Finance,1,0.11731055962607151
Trade and Finance,2,0.3058807454446866
Trade and Finance,3,0.4856573025401989
Trade and Finance,4,0.6570912732694278
Trade and Finance,5,0.8206115630610578
Trade and Finance,6,0.976625534515474
Trade and Finance,7,1.1255196977281612
Trade and Finance,8,1.2676604667268387
Trade and Finance,9,1.4033949583781347
Trade and Finance,10,1.5330518152503636
Utilities and Transport,0,-0.3885145695937231
Utilities and Transport,1,-0.1368115241613288
Utilities and Transport,2,0.09745635100912864
Utilities and Transport,3,0.3159305816760938
Utilities and Transport,4,0.5200626214403758
Utilities and Transport,5,0.711139307516051
Utilities and Transport,6,0.8903044594537279
Utilities and Transport,7,1.058577277937478
Utilities and Transport,8,1.2168680756047268
Utilities and Transport,9,1.3659917727109283
Utilities and Transport,10,1.5066795124400567
