i,t,value
Heavy Industry and Manufacturing,0,5.819681831529322
Heavy Industry and Manufacturing,1,5.923924699821614
Heavy Industry and Manufacturing,2,6.025879689030211
Heavy Industry and Manufacturing,3,6.125544349428802
Heavy Industry and Manufacturing,4,6.22292227584289
Heavy Industry and Manufacturing,5,6.318022422984559
Heavy Industry and Manufacturing,6,6.410858482792636
Heavy Industry and Manufacturing,7,6.501448319211955
Heavy Industry and Manufacturing,8,6.589813455839177
Heavy Industry and Manufacturing,9,6.675978612065436
Heavy Industry and Manufacturing,10,6.759971283541288
Primary and Light Industry,0,5.575431404808051
Primary and Light Industry,1,5.5045203616348015
Primary and Light Industry,2,5.442160467753143
Primary and Light Industry,3,5.387700253617056
Primary and Light Industry,4,5.340530611191641
Primary and Light Industry,5,5.300082460720179
Primary and Light Industry,6,5.265824487217774
Primary and Light Industry,7,5.237260957440215
Primary and Light Industry,8,5.213929624129188
Primary and Light Industry,9,5.1953997216450665
Primary and Light Industry,10,5.181270054855913
Social and Professional Services,0,3.8558763833693055
Social and Professional Services,1,4.026853759906435
Social and Professional Services,2,4.188106272105618
Social and Professional Services,3,4.340306876409761
Social and Professional Services,4,4.484074438406549
Social and Professional Services,5,4.619978691681426
Social and Professional Services,6,4.748544672660193
Social and Professional Services,7,4.8702566965100225
Social and Professional Services,8,4.985561929596316
Social and Professional Services,9,5.094873606052186
Social and Professional Services,10,5.198573929431971
Trade and Finance,0,3.0581480030836383
Trade and Finance,1,3.2613176030168
Trade and Finance,2,3.4548374993041087
Trade and Finance,3,3.639205969737591
Trade and Finance,4,3.8148973482074577
Trade and Finance,5,3.9823625211966363
Trade and Finance,6,4.142029565350636
Trade and Finance,7,4.294304485827638
Trade and Finance,8,4.439572023707128
Trade and Finance,9,4.5781965075518904
Trade and Finance,10,4.710522729630329
Utilities and Transport,0,2.740485804867432
Utilities and Transport,1,2.9992152646975745
Utilities and Transport,2,3.239869925150174
Utilities and Transport,3,3.464152702889378
Utilities and Transport,4,3.6735698446659804
Utilities and Transport,5,3.8694571977154757
Utilities and Transport,6,4.053002506824921
Utilities and Transport,7,4.225264414305241
Utilities and Transport,8,4.387188710353107
Utilities and Transport,9,4.5396222793190555
Utilities and Transport,10,4.683325107146952
