j,t,value
Heavy Industry and Manufacturing,0,0.8288296547231733
Heavy Industry and Manufacturing,1,1.1314072478804116
Heavy Industry and Manufacturing,2,1.4231203000304005
Heavy Industry and Manufacturing,3,1.7043502521408405
Heavy Industry and Manufacturing,4,1.9754686873736604
Heavy Industry and Manufacturing,5,2.236837029915928
Heavy Industry and Manufacturing,6,2.488806343305483
Heavy Industry and Manufacturing,7,2.731717213750029
Heavy Industry and Manufacturing,8,2.9658997057019354
Heavy Industry and Manufacturing,9,3.191673378509141
Heavy Industry and Manufacturing,10,3.409347354390757
Primary and Light Industry,0,-1.7702655122691646
Primary and Light Industry,1,-1.8863123454692876
Primary and Light Industry,2,-1.9887227370328109
Primary and Light Industry,3,-2.0785682456122667
Primary and Light Industry,4,-2.156844699053617
Primary and Light Industry,5,-2.224477327673291
Primary and Light Industry,6,-2.2823255663325215
Primary and Light Industry,7,-2.3311875424600115
Primary and Light Industry,8,-2.3718042675481943
Primary and Light Industry,9,-2.404863549639391
Primary and Light Industry,10,-2.4310036438842553
Social and Professional Services,0,0.8137618610928543
Social and Professional Services,1,0.9757256108927637
Social and Professional Services,2,1.1290633147673867
Social and Professional Services,3,1.274332222767649
Social and Professional Services,4,1.4120477635023443
Social and Professional Services,5,1.5426871252166796
Social and Professional Services,6,1.6666924805180283
Social and Professional Services,7,1.7844738974573504
Social and Professional Services,8,1.8964119733824614
Social and Professional Services,9,2.0028602227979864
Social and Professional Services,10,2.104147246197252
Trade and Finance,0,0.18718183863308813
Trade and Finance,1,0.41729551257787545
Trade and Finance,2,0.6374652241570411
Trade and Finance,3,0.8481702271995406
Trade and Finance,4,1.0498668239094178
Trade and Finance,5,1.2429891092809564
Trade and Finance,6,1.4279497650410145
Trade and Finance,7,1.6051408856083027
Trade and Finance,8,1.7749348218267125
Trade and Finance,9,1.937685030982439
Trade and Finance,10,2.09372692392531
Utilities and Transport,0,0.3092643521616534
Utilities and Transport,1,0.5367058474438524
Utilities and Transport,2,0.7510223709853658
Utilities and Transport,3,0.9532652038655831
Utilities and Transport,4,1.144377933539542
Utilities and Transport,5,1.3252095492553684
Utilities and Transport,6,1.4965257049166292
Utilities and Transport,7,1.659018442634097
Utilities and Transport,8,1.8133146165864478
Utilities and Transport,9,1.9599832145235307
Utilities and Transport,10,2.099541740053512
