j,t,value
Heavy Industry and Manufacturing,0,0.553294705679308
Heavy Industry and Manufacturing,1,0.5567152128785668
Heavy Industry and Manufacturing,2,0.5579543326426961
Heavy Industry and Manufacturing,3,0.5573224136659727
Heavy Industry and Manufacturing,4,0.5550907217765966
Heavy Industry and Manufacturing,5,0.5514965445113429
Heavy Industry and Manufacturing,6,0.5467475605141603
Heavy Industry and Manufacturing,7,0.5410255940189623
Heavy Industry and Manufacturing,8,0.5344898521072006
Heavy Industry and Manufacturing,9,0.5272797246653749
Heavy Industry and Manufacturing,10,0.5195172129405901
Primary and Light Industry,0,-0.546582546244212
Primary and Light Industry,1,-0.33638296903064635
Primary and Light Industry,2,-0.1407459026800839
Primary and Light Industry,3,0.041305909875188895
Primary and Light Industry,4,0.21068482435535607
Primary and Light Industry,5,0.3682427675045563
Primary and Light Industry,6,0.5147753323245796
Primary and Light Industry,7,0.6510255472463866
Primary and Light Industry,8,0.7776873596129663
Primary and Light Industry,9,0.8954088656218717
Primary and Light Industry,10,1.0047953129473042
Social and Professional Services,0,0.6005310460060365
Social and Professional Services,1,0.5616856305547424
Social and Professional Services,2,0.5268114378427002
Social and Professional Services,3,0.4955863575756947
Social and Professional Services,4,0.46771204021411883
Social and Professional Services,5,0.44291239019045303
Social and Professional Services,6,0.4209320934522198
Social and Professional Services,7,0.4015351987034066
Social and Professional Services,8,0.3845037640083815
Social and Professional Services,9,0.3696365751483244
Social and Professional Services,10,0.35674793849400643
Trade and Finance,0,1.1204929333007652
Trade and Finance,1,1.0536252891507392
Trade and Finance,2,0.9904603249750066
Trade and Finance,3,0.9308635515060892
Trade and Finance,4,0.8746919173916012
Trade and Finance,5,0.8217972912188731
Trade and Finance,6,0.7720291892507225
Trade and Finance,7,0.725236901080395
Trade and Finance,8,0.6812711335877353
Trade and Finance,9,0.6399852688935947
Trade and Finance,10,0.6012363127217757
Utilities and Transport,0,1.4824634159229078
Utilities and Transport,1,1.3584244213913133
Utilities and Transport,2,1.2468961508243392
Utilities and Transport,3,1.1464399054272656
Utilities and Transport,4,1.0558055085457374
Utilities and Transport,5,0.9739032587900542
Utilities and Transport,6,0.899780601439204
Utilities and Transport,7,0.8326026259753094
Utilities and Transport,8,0.7716356852640605
Utilities and Transport,9,0.7162335765670491
Utilities and Transport,10,0.6658258359449443
