j,t,value
Heavy Industry and Manufacturing,0,-9.240502442051424
Heavy Industry and Manufacturing,1,-9.102136897298251
Heavy Industry and Manufacturing,2,-8.975034773583456
Heavy Industry and Manufacturing,3,-8.858241463477611
Heavy Industry and Manufacturing,4,-8.75088888845077
Heavy Industry and Manufacturing,5,-8.652186877426683
Heavy Industry and Manufacturing,6,-8.561415515417837
Heavy Industry and Manufacturing,7,-8.477918335655266
Heavy Industry and Manufacturing,8,-8.401096248265215
Heavy Industry and Manufacturing,9,-8.330402114533763
Heavy Industry and Manufacturing,10,-8.265335889009574
Primary and Light Industry,0,-9.240502442051424
Primary and Light Industry,1,-9.102136897298251
Primary and Light Industry,2,-8.975034773583456
Primary and Light Industry,3,-8.858241463477611
Primary and Light Industry,4,-8.75088888845077
Primary and Light Industry,5,-8.652186877426683
Primary and Light Industry,6,-8.561415515417837
Primary and Light Industry,7,-8.477918335655266
Primary and Light Industry,8,-8.401096248265215
Primary and Light Industry,9,-8.330402114533763
Primary and Light Industry,10,-8.265335889009574
Social and Professional Services,0,-9.240502442051424
Social and Professional Services,1,-9.102136897298251
Social and Professional Services,2,-8.975034773583456
Social and Professional Services,3,-8.858241463477611
Social and Professional Services,4,-8.75088888845077
Social and Professional Services,5,-8.652186877426683
Social and Professional Services,6,-8.561415515417837
Social and Professional Services,7,-8.477918335655266
Social and Professional Services,8,-8.401096248265215
Social and Professional Services,9,-8.330402114533763
Social and Professional Services,10,-8.265335889009574
Trade and Finance,0,-9.240502442051424
Trade and Finance,1,-9.102136897298251
Trade and Finance,2,-8.975034773583456
Trade and Finance,3,-8.858241463477611
Trade and Finance,4,-8.75088888845077
Trade and Finance,5,-8.652186877426683
Trade and Finance,6,-8.561415515417837
Trade and Finance,7,-8.477918335655266
Trade and Finance,8,-8.401096248265215
Trade and Finance,9,-8.330402114533763
Trade and Finance,10,-8.265335889009574
Utilities and Transport,0,-9.240502442051424
Utilities and Transport,1,-9.102136897298251
Utilities and Transport,2,-8.975034773583456
Utilities and Transport,3,-8.858241463477611
Utilities and Transport,4,-8.75088888845077
Utilities and Transport,5,-8.652186877426683
Utilities and Transport,6,-8.561415515417837
Utilities and Transport,7,-8.477918335655266
Utilities and Transport,8,-8.401096248265215
Utilities and Transport,9,-8.330402114533763
Utilities and Transport,10,-8.265335889009574
