h,j,t,value
CAP,Heavy Industry and Manufacturing,0,4.5186445603630165
CAP,Heavy Industry and Manufacturing,1,4.13133639694343
CAP,Heavy Industry and Manufacturing,2,3.768496214247641
CAP,Heavy Industry and Manufacturing,3,3.428398060738469
CAP,Heavy Industry and Manufacturing,4,3.1094428730010115
CAP,Heavy Industry and Manufacturing,5,2.810149688198482
CAP,Heavy Industry and Manufacturing,6,2.5291472303529794
CAP,Heavy Industry and Manufacturing,7,2.265165931671076
CAP,Heavy Industry and Manufacturing,8,2.0170304193656063
CAP,Heavy Industry and Manufacturing,9,1.7836524776183804
CAP,Heavy Industry and Manufacturing,10,1.5640244802687109
CAP,Primary and Light Industry,0,-8.421184702227357
CAP,Primary and Light Industry,1,-7.8952919055306765
CAP,Primary and Light Industry,2,-7.410770195607008
CAP,Primary and Light Industry,3,-6.964631861361648
CAP,Primary and Light Industry,4,-6.554085373810681
CAP,Primary and Light Industry,5,-6.176524544256234
CAP,Primary and Light Industry,6,-5.829518101718101
CAP,Primary and Light Industry,7,-5.51079966892064
CAP,Primary and Light Industry,8,-5.218258127220466
CAP,Primary and Light Industry,9,-4.949928367128365
CAP,Primary and Light Industry,10,-4.703982424183895
CAP,Social and Professional Services,0,3.3834524864796434
CAP,Social and Professional Services,1,2.9187479984936537
CAP,Social and Professional Services,2,2.495994173959204
CAP,Social and Professional Services,3,2.1108983638796763
CAP,Social and Professional Services,4,1.7596627564833378
CAP,Social and Professional Services,5,1.4389191397715662
CAP,Social and Professional Services,6,1.1456735924638917
CAP,Social and Professional Services,7,0.8772593739282186
CAP,Social and Professional Services,8,0.6312966215292093
CAP,Social and Professional Services,9,0.40565772907181774
CAP,Social and Professional Services,10,0.19843748958621177
CAP,Trade and Finance,0,0.5679860692636485
CAP,Trade and Finance,1,0.44952172643228927
CAP,Trade and Finance,2,0.3322807299670272
CAP,Trade and Finance,3,0.21688736396558994
CAP,Trade and Finance,4,0.10382735541529797
CAP,Trade and Finance,5,-0.006527908671127847
CAP,Trade and Finance,6,-0.11390128902192265
CAP,Trade and Finance,7,-0.21809319894319223
CAP,Trade and Finance,8,-0.3189677145341907
CAP,Trade and Finance,9,-0.41644100750588553
CAP,Trade and Finance,10,-0.5104717056625518
CAP,Utilities and Transport,0,0.7984245882352248
CAP,Utilities and Transport,1,0.5582679195774487
CAP,Utilities and Transport,2,0.3406107793864743
CAP,Utilities and Transport,3,0.1427971820613827
CAP,Utilities and Transport,4,-0.03746362364396294
CAP,Utilities and Transport,5,-0.20215359426637436
CAP,Utilities and Transport,6,-0.3529926586280485
CAP,Utilities and Transport,7,-0.4914776411619415
CAP,Utilities and Transport,8,-0.618914790685221
CAP,Utilities and Transport,9,-0.7364470700202408
CAP,Utilities and Transport,10,-0.8450771331888762
LAB,Heavy Industry and Manufacturing,0,0.7051086268666573
LAB,Heavy Industry and Manufacturing,1,0.8402201083231642
LAB,Heavy Industry and Manufacturing,2,0.9716759082227577
LAB,Heavy Industry and Manufacturing,3,1.0995942377541867
LAB,Heavy Industry and Manufacturing,4,1.224082336874499
LAB,Heavy Industry and Manufacturing,5,1.3452385204522077
LAB,Heavy Industry and Manufacturing,6,1.4631538313047088
LAB,Heavy Industry and Manufacturing,7,1.5779133751141705
LAB,Heavy Industry and Manufacturing,8,1.6895973971305267
LAB,Heavy Industry and Manufacturing,9,1.7982821488140788
LAB,Heavy Industry and Manufacturing,10,1.9040405831836305
LAB,Primary and Light Industry,0,0.7051086268666573
LAB,Primary and Light Industry,1,0.8402201083231642
LAB,Primary and Light Industry,2,0.9716759082227577
LAB,Primary and Light Industry,3,1.0995942377541867
LAB,Primary and Light Industry,4,1.224082336874499
LAB,Primary and Light Industry,5,1.3452385204522077
LAB,Primary and Light Industry,6,1.4631538313047088
LAB,Primary and Light Industry,7,1.5779133751141705
LAB,Primary and Light Industry,8,1.6895973971305267
LAB,Primary and Light Industry,9,1.7982821488140788
LAB,Primary and Light Industry,10,1.9040405831836305
LAB,Social and Professional Services,0,0.7051086268666573
LAB,Social and Professional Services,1,0.8402201083231642
LAB,Social and Professional Services,2,0.9716759082227577
LAB,Social and Professional Services,3,1.0995942377541867
LAB,Social and Professional Services,4,1.224082336874499
LAB,Social and Professional Services,5,1.3452385204522077
LAB,Social and Professional Services,6,1.4631538313047088
LAB,Social and Professional Services,7,1.5779133751141705
LAB,Social and Professional Services,8,1.6895973971305267
LAB,Social and Professional Services,9,1.7982821488140788
LAB,Social and Professional Services,10,1.9040405831836305
LAB,Trade and Finance,0,0.7051086268666573
LAB,Trade and Finance,1,0.8402201083231642
LAB,Trade and Finance,2,0.9716759082227577
LAB,Trade and Finance,3,1.0995942377541867
LAB,Trade and Finance,4,1.224082336874499
LAB,Trade and Finance,5,1.3452385204522077
LAB,Trade and Finance,6,1.4631538313047088
LAB,Trade and Finance,7,1.5779133751141705
LAB,Trade and Finance,8,1.6895973971305267
LAB,Trade and Finance,9,1.7982821488140788
LAB,Trade and Finance,10,1.9040405831836305
LAB,Utilities and Transport,0,0.7051086268666573
LAB,Utilities and Transport,1,0.8402201083231642
LAB,Utilities and Transport,2,0.9716759082227577
LAB,Utilities and Transport,3,1.0995942377541867
LAB,Utilities and Transport,4,1.224082336874499
LAB,Utilities and Transport,5,1.3452385204522077
LAB,Utilities and Transport,6,1.4631538313047088
LAB,Utilities and Transport,7,1.5779133751141705
LAB,Utilities and Transport,8,1.6895973971305267
LAB,Utilities and Transport,9,1.7982821488140788
LAB,Utilities and Transport,10,1.9040405831836305
