j,t,value
Heavy Industry and Manufacturing,0,-7.010839360530863
Heavy Industry and Manufacturing,1,-6.908223684998149
Heavy Industry and Manufacturing,2,-6.8132209488845685
Heavy Industry and Manufacturing,3,-6.725245897192766
Heavy Industry and Manufacturing,4,-6.6437618867731585
Heavy Industry and Manufacturing,5,-6.568276297203224
Heavy Industry and Manufacturing,6,-6.498336462967124
Heavy Industry and Manufacturing,7,-6.433526052568405
Heavy Industry and Manufacturing,8,-6.373461833530936
Heavy Industry and Manufacturing,9,-6.317790772747545
Heavy Industry and Manufacturing,10,-6.266187429867786
Primary and Light Industry,0,-7.010839360530863
Primary and Light Industry,1,-6.908223684998149
Primary and Light Industry,2,-6.8132209488845685
Primary and Light Industry,3,-6.725245897192766
Primary and Light Industry,4,-6.6437618867731585
Primary and Light Industry,5,-6.568276297203224
Primary and Light Industry,6,-6.498336462967124
Primary and Light Industry,7,-6.433526052568405
Primary and Light Industry,8,-6.373461833530936
Primary and Light Industry,9,-6.317790772747545
Primary and Light Industry,10,-6.266187429867786
Social and Professional Services,0,-7.010839360530863
Social and Professional Services,1,-6.908223684998149
Social and Professional Services,2,-6.8132209488845685
Social and Professional Services,3,-6.725245897192766
Social and Professional Services,4,-6.6437618867731585
Social and Professional Services,5,-6.568276297203224
Social and Professional Services,6,-6.498336462967124
Social and Professional Services,7,-6.433526052568405
Social and Professional Services,8,-6.373461833530936
Social and Professional Services,9,-6.317790772747545
Social and Professional Services,10,-6.266187429867786
Trade and Finance,0,-7.010839360530863
Trade and Finance,1,-6.908223684998149
Trade and Finance,2,-6.8132209488845685
Trade and Finance,3,-6.725245897192766
Trade and Finance,4,-6.6437618867731585
Trade and Finance,5,-6.568276297203224
Trade and Finance,6,-6.498336462967124
Trade and Finance,7,-6.433526052568405
Trade and Finance,8,-6.373461833530936
Trade and Finance,9,-6.317790772747545
Trade and Finance,10,-6.266187429867786
Utilities and Transport,0,-7.010839360530863
Utilities and Transport,1,-6.908223684998149
Utilities and Transport,2,-6.8132209488845685
Utilities and Transport,3,-6.725245897192766
Utilities and Transport,4,-6.6437618867731585
Utilities and Transport,5,-6.568276297203224
Utilities and Transport,6,-6.498336462967124
Utilities and Transport,7,-6.433526052568405
Utilities and Transport,8,-6.373461833530936
Utilities and Transport,9,-6.317790772747545
Utilities and Transport,10,-6.266187429867786
