j,t,value
Heavy Industry and Manufacturing,0,3.1236832469067943
Heavy Industry and Manufacturing,1,2.9293974123370425
Heavy Industry and Manufacturing,2,2.7486289493825478
Heavy Industry and Manufacturing,3,2.580419500500475
Heavy Industry and Manufacturing,4,2.423875203730108
Heavy Industry and Manufacturing,5,2.278163408345968
Heavy Industry and Manufacturing,6,2.1425092837486837
Heavy Industry and Manufacturing,7,2.0161924134940223
Heavy Industry and Manufacturing,8,1.898543438301803
Heavy Industry and Manufacturing,9,1.788940791617688
Heavy Industry and Manufacturing,10,1.6868075564367757
Primary and Light Industry,0,-6.376259031648579
Primary and Light Industry,1,-5.934568701034404
Primary and Light Industry,2,-5.526392329098851
Primary and Light Industry,3,-5.149281951782337
Primary and Light Industry,4,-4.800961670421033
Primary and Light Industry,5,-4.479315985946075
Primary and Light Industry,6,-4.182378976771917
Primary and Light Industry,7,-3.9083242233401982
Primary and Light Industry,8,-3.655455403764696
Primary and Light Industry,9,-3.422197500536206
Primary and Light Industry,10,-3.2070885695763107
Social and Professional Services,0,2.0196807925509486
Social and Professional Services,1,1.861911856078713
Social and Professional Services,2,1.721980490462971
Social and Professional Services,3,1.5980172093677636
Social and Professional Services,4,1.488357074433666
Social and Professional Services,5,1.3915148920035758
Social and Professional Services,6,1.3061638628813377
Social and Professional Services,7,1.2311171297314738
Social and Professional Services,8,1.1653117680391345
Social and Professional Services,9,1.1077948473759314
Social and Professional Services,10,1.0577112545282041
Trade and Finance,0,0.6067998036068722
Trade and Finance,1,0.5600124371309301
Trade and Finance,2,0.5129434468541527
Trade and Finance,3,0.46608211718859316
Trade and Finance,4,0.4198158334447255
Trade and Finance,5,0.374447728319649
Trade and Finance,6,0.33021132819774923
Trade and Finance,7,0.28728272960190093
Trade and Finance,8,0.24579073624730885
Trade and Finance,9,0.20582530752766282
Trade and Finance,10,0.1674446051596723
Utilities and Transport,0,0.7734880688134549
Utilities and Transport,1,0.6335102568987061
Utilities and Transport,2,0.5088039328713823
Utilities and Transport,3,0.3975022460594557
Utilities and Transport,4,0.2979936042649678
Utilities and Transport,5,0.2088828764649442
Utilities and Transport,6,0.1289591192433326
Utilities and Transport,7,0.05716861774067716
Utilities and Transport,8,-0.007407722108132564
Utilities and Transport,9,-0.06557340189315974
Utilities and Transport,10,-0.11803240164516282
