j,t,value
Heavy Industry and Manufacturing,0,-0.303721898224274
Heavy Industry and Manufacturing,1,-0.2898316554979852
Heavy Industry and Manufacturing,2,-0.27867636109788485
Heavy Industry and Manufacturing,3,-0.2699198988740381
Heavy Industry and Manufacturing,4,-0.2632658331376825
Heavy Industry and Manufacturing,5,-0.25845240318280727
Heavy Industry and Manufacturing,6,-0.25524822628489874
Heavy Industry and Manufacturing,7,-0.2534485939896469
Heavy Industry and Manufacturing,8,-0.2528722681206741
Heavy Industry and Manufacturing,9,-0.25335869995670723
Heavy Industry and Manufacturing,10,-0.2547656094370021
Primary and Light Industry,0,-2.29575794449548
Primary and Light Industry,1,-2.1133910047598903
Primary and Light Industry,2,-1.9437546126347405
Primary and Light Industry,3,-1.7859795538400003
Primary and Light Industry,4,-1.6392563576528074
Primary and Light Industry,5,-1.5028309087364078
Primary and Light Industry,6,-1.3760004615876231
Primary and Light Industry,7,-1.2581100014035118
Primary and Light Industry,8,-1.1485489065440446
Primary and Light Industry,9,-1.046747876554588
Primary and Light Industry,10,-0.9521760962093229
Social and Professional Services,0,0.5393663949136762
Social and Professional Services,1,0.501573560550983
Social and Professional Services,2,0.46766840280414446
Social and Professional Services,3,0.437334931282507
Social and Professional Services,4,0.41028049051885507
Social and Professional Services,5,0.3862342803685026
Social and Professional Services,6,0.36494590941780203
Social and Professional Services,7,0.3461840007509265
Social and Professional Services,8,0.32973486174356914
Social and Professional Services,9,0.3154012242918558
Social and Professional Services,10,0.3030010582701914
Trade and Finance,0,0.8470115400739608
Trade and Finance,1,0.7854108982387364
Trade and Finance,2,0.7271771945352112
Trade and Finance,3,0.672195212103599
Trade and Finance,4,0.6203403812757635
Trade and Finance,5,0.571482237842269
Trade and Finance,6,0.525487140777825
Trade and Finance,7,0.48222039867429345
Trade and Finance,8,0.4415479228629726
Trade and Finance,9,0.40333750099006416
Trade and Finance,10,0.3674597658862355
Utilities and Transport,0,0.9427368191145646
Utilities and Transport,1,0.8320140044311808
Utilities and Transport,2,0.7326676960008882
Utilities and Transport,3,0.6433660592360502
Utilities and Transport,4,0.5629543322946517
Utilities and Transport,5,0.4904281966536139
Utilities and Transport,6,0.4249116618081583
Utilities and Transport,7,0.36563860611678045
Utilities and Transport,8,0.3119372969077272
Utilities and Transport,9,0.26321735245715683
Utilities and Transport,10,0.21895871579242776
