i,t,value
Heavy Industry and Manufacturing,1,2.2845488488583365
Heavy Industry and Manufacturing,2,2.2738540750085967
Heavy Industry and Manufacturing,3,2.2635838526168017
Heavy Industry and Manufacturing,4,2.2537217808004106
Heavy Industry and Manufacturing,5,2.244251882508941
Heavy Industry and Manufacturing,6,2.2351586310821236
Heavy Industry and Manufacturing,7,2.2264269694767913
Heavy Industry and Manufacturing,8,2.218042323138114
Heavy Industry and Manufacturing,9,2.2099906074457554
Heavy Industry and Manufacturing,10,2.202258230576093
Primary and Light Industry,1,1.9297456145473513
Primary and Light Industry,2,1.9403253652312547
Primary and Light Industry,3,1.9500604454090409
Primary and Light Industry,4,1.9590062876429837
Primary and Light Industry,5,1.9672153831389982
Primary and Light Industry,6,1.9747373480134778
Primary and Light Industry,7,1.9816190055247818
Primary and Light Industry,8,1.9879044798695622
Primary and Light Industry,9,1.9936352978854766
Primary and Light Industry,10,1.998850495982074
Social and Professional Services,1,2.1617775632528424
Social and Professional Services,2,2.152964911034072
Social and Professional Services,3,2.1447437938485026
Social and Professional Services,4,2.137067220927591
Social and Professional Services,5,2.129892539292988
Social and Professional Services,6,2.12318096442472
Social and Professional Services,7,2.116897171287846
Social and Professional Services,8,2.1110089364829276
Social and Professional Services,9,2.1054868239344326
Social and Professional Services,10,2.1003039078704377
Trade and Finance,1,2.223959132066722
Trade and Finance,2,2.213971334574927
Trade and Finance,3,2.2045025501771454
Trade and Finance,4,2.1955233922285933
Trade and Finance,5,2.187006061621166
Trade and Finance,6,2.1789242955269073
Trade and Finance,7,2.1712533097717923
Trade and Finance,8,2.163969737035898
Trade and Finance,9,2.15705156259578
Trade and Finance,10,2.1504780589988837
Utilities and Transport,1,2.2056124363484697
Utilities and Transport,2,2.1938897096290377
Utilities and Transport,3,2.1831320480951266
Utilities and Transport,4,2.173234681374492
Utilities and Transport,5,2.164106533751786
Utilities and Transport,6,2.15566815503645
Utilities and Transport,7,2.147850007699792
Utilities and Transport,8,2.140591040910378
Utilities and Transport,9,2.1338374974774865
Utilities and Transport,10,2.127541910616726
