h,j,t,value
CAP,Heavy Industry and Manufacturing,1,2.0000000000000018
CAP,Heavy Industry and Manufacturing,2,1.9999999999999796
CAP,Heavy Industry and Manufacturing,3,2.000000000000024
CAP,Heavy Industry and Manufacturing,4,1.9999999999999796
CAP,Heavy Industry and Manufacturing,5,2.0000000000000018
CAP,Heavy Industry and Manufacturing,6,2.0000000000000018
CAP,Heavy Industry and Manufacturing,7,2.0000000000000018
CAP,Heavy Industry and Manufacturing,8,2.0000000000000018
CAP,Heavy Industry and Manufacturing,9,2.0000000000000018
CAP,Heavy Industry and Manufacturing,10,2.0000000000000018
CAP,Primary and Light Industry,1,2.0000000000000018
CAP,Primary and Light Industry,2,2.0000000000000018
CAP,Primary and Light Industry,3,2.000000000000024
CAP,Primary and Light Industry,4,1.9999999999999574
CAP,Primary and Light Industry,5,2.0000000000000018
CAP,Primary and Light Industry,6,2.0000000000000018
CAP,Primary and Light Industry,7,2.0000000000000018
CAP,Primary and Light Industry,8,2.000000000000024
CAP,Primary and Light Industry,9,2.0000000000000018
CAP,Primary and Light Industry,10,2.0000000000000018
CAP,Social and Professional Services,1,2.0000000000000018
CAP,Social and Professional Services,2,1.9999999999999796
CAP,Social and Professional Services,3,2.000000000000024
CAP,Social and Professional Services,4,1.9999999999999796
CAP,Social and Professional Services,5,2.0000000000000018
CAP,Social and Professional Services,6,2.0000000000000018
CAP,Social and Professional Services,7,2.0000000000000018
CAP,Social and Professional Services,8,2.0000000000000018
CAP,Social and Professional Services,9,2.0000000000000018
CAP,Social and Professional Services,10,2.0000000000000018
CAP,Trade and Finance,1,2.0000000000000018
CAP,Trade and Finance,2,2.0000000000000018
CAP,Trade and Finance,3,2.000000000000024
CAP,Trade and Finance,4,1.9999999999999796
CAP,Trade and Finance,5,2.0000000000000018
CAP,Trade and Finance,6,2.0000000000000018
CAP,Trade and Finance,7,2.0000000000000018
CAP,Trade and Finance,8,2.0000000000000018
CAP,Trade and Finance,9,2.0000000000000018
CAP,Trade and Finance,10,2.0000000000000018
CAP,Utilities and Transport,1,2.0000000000000018
CAP,Utilities and Transport,2,2.0000000000000018
CAP,Utilities and Transport,3,2.000000000000024
CAP,Utilities and Transport,4,1.9999999999999796
CAP,Utilities and Transport,5,2.0000000000000018
CAP,Utilities and Transport,6,2.0000000000000018
CAP,Utilities and Transport,7,2.0000000000000018
CAP,Utilities and Transport,8,2.0000000000000018
CAP,Utilities and Transport,9,2.0000000000000018
CAP,Utilities and Transport,10,2.000000000000024
LAB,Heavy Industry and Manufacturing,1,2.0000000000000018
LAB,Heavy Industry and Manufacturing,2,2.000000000000024
LAB,Heavy Industry and Manufacturing,3,2.0000000000000018
LAB,Heavy Industry and Manufacturing,4,2.0000000000000018
LAB,Heavy Industry and Manufacturing,5,2.0000000000000018
LAB,Heavy Industry and Manufacturing,6,2.0000000000000018
LAB,Heavy Industry and Manufacturing,7,2.0000000000000018
LAB,Heavy Industry and Manufacturing,8,2.0000000000000018
LAB,Heavy Industry and Manufacturing,9,2.0000000000000018
LAB,Heavy Industry and Manufacturing,10,2.000000000000024
LAB,Primary and Light Industry,1,2.0000000000000018
LAB,Primary and Light Industry,2,2.0000000000000018
LAB,Primary and Light Industry,3,2.000000000000024
LAB,Primary and Light Industry,4,1.9999999999999796
LAB,Primary and Light Industry,5,2.0000000000000018
LAB,Primary and Light Industry,6,2.0000000000000018
LAB,Primary and Light Industry,7,2.0000000000000018
LAB,Primary and Light Industry,8,2.0000000000000018
LAB,Primary and Light Industry,9,2.0000000000000018
LAB,Primary and Light Industry,10,2.0000000000000018
LAB,Social and Professional Services,1,2.0000000000000018
LAB,Social and Professional Services,2,2.0000000000000018
LAB,Social and Professional Services,3,2.000000000000024
LAB,Social and Professional Services,4,1.9999999999999796
LAB,Social and Professional Services,5,2.0000000000000018
LAB,Social and Professional Services,6,2.0000000000000018
LAB,Social and Professional Services,7,1.9999999999999796
LAB,Social and Professional Services,8,2.000000000000024
LAB,Social and Professional Services,9,2.0000000000000018
LAB,Social and Professional Services,10,2.000000000000024
LAB,Trade and Finance,1,2.0000000000000018
LAB,Trade and Finance,2,2.0000000000000018
LAB,Trade and Finance,3,2.000000000000024
LAB,Trade and Finance,4,1.9999999999999796
LAB,Trade and Finance,5,2.0000000000000018
LAB,Trade and Finance,6,1.9999999999999796
LAB,Trade and Finance,7,2.0000000000000018
LAB,Trade and Finance,8,2.000000000000024
LAB,Trade and Finance,9,2.0000000000000018
LAB,Trade and Finance,10,2.0000000000000018
LAB,Utilities and Transport,1,2.0000000000000018
LAB,Utilities and Transport,2,2.0000000000000018
LAB,Utilities and Transport,3,2.000000000000024
LAB,Utilities and Transport,4,1.9999999999999796
LAB,Utilities and Transport,5,2.0000000000000018
LAB,Utilities and Transport,6,2.0000000000000018
LAB,Utilities and Transport,7,2.0000000000000018
LAB,Utilities and Transport,8,2.0000000000000018
LAB,Utilities and Transport,9,2.0000000000000018
LAB,Utilities and Transport,10,2.0000000000000018
