h,j,t,value
CAP,Heavy Industry and Manufacturing,1,2.549114204080638
CAP,Heavy Industry and Manufacturing,2,2.520957192695139
CAP,Heavy Industry and Manufacturing,3,2.4945745711063116
CAP,Heavy Industry and Manufacturing,4,2.4698356192945026
CAP,Heavy Industry and Manufacturing,5,2.446620357859386
CAP,Heavy Industry and Manufacturing,6,2.4248185919617082
CAP,Heavy Industry and Manufacturing,7,2.4043290445645793
CAP,Heavy Industry and Manufacturing,8,2.3850585710310623
CAP,Heavy Industry and Manufacturing,9,2.36692144751518
CAP,Heavy Industry and Manufacturing,10,2.3498387260924014
CAP,Primary and Light Industry,1,1.7383074817172828
CAP,Primary and Light Industry,2,1.7678205188913942
CAP,Primary and Light Industry,3,1.7948961330666258
CAP,Primary and Light Industry,4,1.819712476685642
CAP,Primary and Light Industry,5,1.8424361416646606
CAP,Primary and Light Industry,6,1.8632227586365069
CAP,Primary and Light Industry,7,1.8822175805965236
CAP,Primary and Light Industry,8,1.8995560506602782
CAP,Primary and Light Industry,9,1.9153643532073383
CAP,Primary and Light Industry,10,1.9297599475035065
CAP,Social and Professional Services,1,2.477983330096456
CAP,Social and Professional Services,2,2.445021962129168
CAP,Social and Professional Services,3,2.414932293403105
CAP,Social and Professional Services,4,2.3874210539838403
CAP,Social and Professional Services,5,2.362229251330894
CAP,Social and Professional Services,6,2.339127562934573
CAP,Social and Professional Services,7,2.317912443620518
CAP,Social and Professional Services,8,2.298402820938672
CAP,Social and Professional Services,9,2.2804372771609405
CAP,Social and Professional Services,10,2.2638716360390276
CAP,Trade and Finance,1,2.30156685261802
CAP,Trade and Finance,2,2.2903930158735486
CAP,Trade and Finance,3,2.279511632747533
CAP,Trade and Finance,4,2.2689435365863986
CAP,Trade and Finance,5,2.2587029213614107
CAP,Trade and Finance,6,2.2487985915368602
CAP,Trade and Finance,7,2.2392349922297328
CAP,Trade and Finance,8,2.230013059185043
CAP,Trade and Finance,9,2.221130920592196
CAP,Trade and Finance,10,2.212584476783408
CAP,Utilities and Transport,1,2.3160060771623137
CAP,Utilities and Transport,2,2.297202966605094
CAP,Utilities and Transport,3,2.2800329868117197
CAP,Utilities and Transport,4,2.264308916822233
CAP,Utilities and Transport,5,2.249869110640379
CAP,Utilities and Transport,6,2.2365735384112906
CAP,Utilities and Transport,7,2.2243005092661416
CAP,Utilities and Transport,8,2.2129439461592737
CAP,Utilities and Transport,9,2.2024111101416333
CAP,Utilities and Transport,10,2.192620692435021
LAB,Heavy Industry and Manufacturing,1,2.03221240888094
LAB,Heavy Industry and Manufacturing,2,2.030720549866216
LAB,Heavy Industry and Manufacturing,3,2.029393334218743
LAB,Heavy Industry and Manufacturing,4,2.028204935616862
LAB,Heavy Industry and Manufacturing,5,2.027133766892031
LAB,Heavy Industry and Manufacturing,6,2.0261617617633343
LAB,Heavy Industry and Manufacturing,7,2.0252737870497084
LAB,Heavy Industry and Manufacturing,8,2.0244571590521954
LAB,Heavy Industry and Manufacturing,9,2.0237012437838597
LAB,Heavy Industry and Manufacturing,10,2.022997125129833
LAB,Primary and Light Industry,1,2.1854437431120477
LAB,Primary and Light Industry,2,2.1699862555721428
LAB,Primary and Light Industry,3,2.15597300120407
LAB,Primary and Light Industry,4,2.143249325686414
LAB,Primary and Light Industry,5,2.1316799556681643
LAB,Primary and Light Industry,6,2.1211461535252996
LAB,Primary and Light Industry,7,2.1115433522993943
LAB,Primary and Light Industry,8,2.1027791798274187
LAB,Primary and Light Industry,9,2.094771800161266
LAB,Primary and Light Industry,10,2.0874485151099353
LAB,Social and Professional Services,1,1.8806602240161174
LAB,Social and Professional Services,2,1.8913879292737468
LAB,Social and Professional Services,3,1.9010453244133974
LAB,Social and Professional Services,4,1.909748603030148
LAB,Social and Professional Services,5,1.917600099462824
LAB,Social and Professional Services,6,1.924690137054208
LAB,Social and Professional Services,7,1.9310985980355744
LAB,Social and Professional Services,8,1.9368962622491548
LAB,Social and Professional Services,9,1.942145952947083
LAB,Social and Professional Services,10,1.9469035209703556
LAB,Trade and Finance,1,2.0441524175729864
LAB,Trade and Finance,2,2.03798620838167
LAB,Trade and Finance,3,2.032616326285286
LAB,Trade and Finance,4,2.027937287970505
LAB,Trade and Finance,5,2.023858660738065
LAB,Trade and Finance,6,2.0203026839484606
LAB,Trade and Finance,7,2.017202310487143
LAB,Trade and Finance,8,2.0144995859343373
LAB,Trade and Finance,9,2.012144300830232
LAB,Trade and Finance,10,2.0100928648207894
LAB,Utilities and Transport,1,1.935471500451924
LAB,Utilities and Transport,2,1.9428886787926425
LAB,Utilities and Transport,3,1.949239193178287
LAB,Utilities and Transport,4,1.954688298414764
LAB,Utilities and Transport,5,1.9593744580648664
LAB,Utilities and Transport,6,1.9634139107829185
LAB,Utilities and Transport,7,1.966904410088821
LAB,Utilities and Transport,8,1.9699282977482913
LAB,Utilities and Transport,9,1.9725550375598644
LAB,Utilities and Transport,10,1.9748433105233554
