h,t,value
CAP,1,2.0000000000000018
CAP,2,2.0000000000000018
CAP,3,2.000000000000024
CAP,4,1.9999999999999796
CAP,5,2.0000000000000018
CAP,6,2.0000000000000018
CAP,7,2.0000000000000018
CAP,8,2.0000000000000018
CAP,9,2.0000000000000018
CAP,10,2.0000000000000018
LAB,1,2.0000000000000018
LAB,2,2.0000000000000018
LAB,3,2.0000000000000018
LAB,4,1.9999999999999796
LAB,5,2.0000000000000018
LAB,6,2.0000000000000018
LAB,7,2.0000000000000018
LAB,8,2.000000000000024
LAB,9,2.0000000000000018
LAB,10,2.0000000000000018
