j,t,value
Heavy Industry and Manufacturing,1,2.1082184605891063
Heavy Industry and Manufacturing,2,2.10617581342587
Heavy Industry and Manufacturing,3,2.104155104284078
Heavy Industry and Manufacturing,4,2.102150230809108
Heavy Industry and Manufacturing,5,2.100157077866749
Heavy Industry and Manufacturing,6,2.0981730773613982
Heavy Industry and Manufacturing,7,2.096196857907473
Heavy Industry and Manufacturing,8,2.0942279650425277
Heavy Industry and Manufacturing,9,2.0922666372727106
Heavy Industry and Manufacturing,10,2.0903136266164024
Primary and Light Industry,1,2.26156394023016
Primary and Light Industry,2,2.245544510960862
Primary and Light Industry,3,2.230827522188017
Primary and Light Industry,4,2.21727799969913
Primary and Light Industry,5,2.2047780929030703
Primary and Light Industry,6,2.1932245102713743
Primary and Light Industry,7,2.1825263936160244
Primary and Light Industry,8,2.172603547391816
Primary and Light Industry,9,2.1633849568719166
Primary and Light Industry,10,2.154807542715198
Social and Professional Services,1,1.9565533811498392
Social and Professional Services,2,1.9667401515184757
Social and Professional Services,3,1.975713047811567
Social and Professional Services,4,1.9836080465847061
Social and Professional Services,5,1.9905450145171422
Social and Professional Services,6,1.9966298327357412
Social and Professional Services,7,2.0019562028244176
Social and Professional Services,8,2.0066071885350256
Social and Professional Services,9,2.0106565369109264
Social and Professional Services,10,2.0141698146080467
Trade and Finance,1,2.1201673636577434
Trade and Finance,2,2.113446845148248
Trade and Finance,3,2.107380457989616
Trade and Finance,4,2.101882389184162
Trade and Finance,5,2.0968796276393586
Trade and Finance,6,2.0923098641375537
Trade and Finance,7,2.0881197704420096
Trade and Finance,8,2.084263582303514
Trade and Finance,9,2.0807019274342586
Trade and Finance,10,2.077400851857858
Utilities and Transport,1,2.011405487717721
Utilities and Transport,2,2.018278987631361
Utilities and Transport,3,2.0239422305072807
Utilities and Transport,4,2.028580312169348
Utilities and Transport,5,2.0323492720476732
Utilities and Transport,6,2.035380938178588
Utilities and Transport,7,2.0377869053587405
Utilities and Transport,8,2.0396618134387756
Utilities and Transport,9,2.0410860580578394
Utilities and Transport,10,2.0421280393074337
