j,t,value
Heavy Industry and Manufacturing,1,2.4297156344645687
Heavy Industry and Manufacturing,2,2.4141062772670807
Heavy Industry and Manufacturing,3,2.399028021436922
Heavy Industry and Manufacturing,4,2.384472518976355
Heavy Industry and Manufacturing,5,2.370429763479587
Heavy Industry and Manufacturing,6,2.3568884625249975
Heavy Industry and Manufacturing,7,2.34383634655555
Heavy Industry and Manufacturing,8,2.331260425087711
Heavy Industry and Manufacturing,9,2.319147199088656
Heavy Industry and Manufacturing,10,2.307482836774777
Primary and Light Industry,1,1.8197960776435318
Primary and Light Industry,2,1.8398014623110415
Primary and Light Industry,3,1.8582584339107644
Primary and Light Industry,4,1.8752741692557695
Primary and Light Industry,5,1.8909488037323952
Primary and Light Industry,6,1.905375896493422
Primary and Light Industry,7,1.9186428575775905
Primary and Light Industry,8,1.9308313424711843
Primary and Light Industry,9,1.9420176183622129
Primary and Light Industry,10,1.9522729053837562
Social and Professional Services,1,2.386058071832542
Social and Professional Services,2,2.364483013640606
Social and Professional Services,3,2.3443729768742427
Social and Professional Services,4,2.3256127651903657
Social and Professional Services,5,2.3080973868580434
Social and Professional Services,6,2.2917310442373884
Social and Professional Services,7,2.276426234018536
Social and Professional Services,8,2.26210294523419
Social and Professional Services,9,2.248687943552663
Social and Professional Services,10,2.236114131729172
Trade and Finance,1,2.326204246377528
Trade and Finance,2,2.3119002246128506
Trade and Finance,3,2.2982758011691695
Trade and Finance,4,2.2853029790192103
Trade and Finance,5,2.272953500201247
Trade and Finance,6,2.261199223693744
Trade and Finance,7,2.250012409072788
Trade and Finance,8,2.239365926518122
Trade and Finance,9,2.2292334091913446
Trade and Finance,10,2.2195893605309713
Utilities and Transport,1,2.3576331443941445
Utilities and Transport,2,2.334064875727715
Utilities and Transport,3,2.3126782553993586
Utilities and Transport,4,2.293218972785094
Utilities and Transport,5,2.2754673713536455
Utilities and Transport,6,2.259233080530554
Utilities and Transport,7,2.244350584719168
Utilities and Transport,8,2.230675546228489
Utilities and Transport,9,2.218081738605293
Utilities and Transport,10,2.206458477222828
