i,t,value
Heavy Industry and Manufacturing,1,2.0000000000000018
Heavy Industry and Manufacturing,2,2.0000000000000018
Heavy Industry and Manufacturing,3,2.000000000000024
Heavy Industry and Manufacturing,4,1.9999999999999796
Heavy Industry and Manufacturing,5,2.0000000000000018
Heavy Industry and Manufacturing,6,2.0000000000000018
Heavy Industry and Manufacturing,7,2.0000000000000018
Heavy Industry and Manufacturing,8,2.0000000000000018
Heavy Industry and Manufacturing,9,2.0000000000000018
Heavy Industry and Manufacturing,10,2.0000000000000018
Primary and Light Industry,1,2.0000000000000018
Primary and Light Industry,2,2.0000000000000018
Primary and Light Industry,3,2.0000000000000018
Primary and Light Industry,4,1.9999999999999796
Primary and Light Industry,5,2.0000000000000018
Primary and Light Industry,6,2.0000000000000018
Primary and Light Industry,7,2.0000000000000018
Primary and Light Industry,8,2.0000000000000018
Primary and Light Industry,9,2.0000000000000018
Primary and Light Industry,10,2.0000000000000018
Social and Professional Services,1,2.0000000000000018
Social and Professional Services,2,2.0000000000000018
Social and Professional Services,3,2.0000000000000018
Social and Professional Services,4,1.9999999999999796
Social and Professional Services,5,2.0000000000000018
Social and Professional Services,6,2.000000000000024
Social and Professional Services,7,1.9999999999999796
Social and Professional Services,8,2.0000000000000018
Social and Professional Services,9,2.0000000000000018
Social and Professional Services,10,2.0000000000000018
Trade and Finance,1,2.0000000000000018
Trade and Finance,2,2.0000000000000018
Trade and Finance,3,2.0000000000000018
Trade and Finance,4,1.9999999999999796
Trade and Finance,5,2.0000000000000018
Trade and Finance,6,2.0000000000000018
Trade and Finance,7,2.0000000000000018
Trade and Finance,8,2.0000000000000018
Trade and Finance,9,2.000000000000024
Trade and Finance,10,2.0000000000000018
Utilities and Transport,1,2.0000000000000018
Utilities and Transport,2,1.9999999999999796
Utilities and Transport,3,2.0000000000000018
Utilities and Transport,4,1.9999999999999796
Utilities and Transport,5,2.0000000000000018
Utilities and Transport,6,2.0000000000000018
Utilities and Transport,7,1.9999999999999796
Utilities and Transport,8,2.000000000000024
Utilities and Transport,9,2.0000000000000018
Utilities and Transport,10,2.000000000000024
