i,t,value
Heavy Industry and Manufacturing,1,2.2235321455328805
Heavy Industry and Manufacturing,2,2.2163797255290607
Heavy Industry and Manufacturing,3,2.2094474748875825
Heavy Industry and Manufacturing,4,2.202729936617698
Heavy Industry and Manufacturing,5,2.1962216851736827
Heavy Industry and Manufacturing,6,2.189917322641688
Heavy Industry and Manufacturing,7,2.1838114806300934
Heavy Industry and Manufacturing,8,2.177898825612523
Heavy Industry and Manufacturing,9,2.1721740662248967
Heavy Industry and Manufacturing,10,2.1666319614445984
Primary and Light Industry,1,1.954709387230591
Primary and Light Industry,2,1.9636437609133806
Primary and Light Industry,3,1.9718309691704627
Primary and Light Industry,4,1.9793216395341817
Primary and Light Industry,5,1.9861635778082753
Primary and Light Industry,6,1.9924018477327055
Primary and Light Industry,7,1.9980788638827907
Primary and Light Industry,8,2.00323449365154
Primary and Light Industry,9,2.0079061648878627
Primary and Light Industry,10,2.012128976776517
Social and Professional Services,1,2.1498748386491906
Social and Professional Services,2,2.14205531604168
Social and Professional Services,3,2.1347460509789418
Social and Professional Services,4,2.1279070791652144
Social and Professional Services,5,2.1215020999327816
Social and Professional Services,6,2.115498081002909
Social and Professional Services,7,2.109864914205417
Social and Professional Services,8,2.1045751142847235
Social and Professional Services,9,2.0996035543428437
Social and Professional Services,10,2.094927232622945
Trade and Finance,1,2.2221175219714784
Trade and Finance,2,2.2122571481676845
Trade and Finance,3,2.202907043003588
Trade and Finance,4,2.1940384055638473
Trade and Finance,5,2.185623987453633
Trade and Finance,6,2.177638042488228
Trade and Finance,7,2.17005627032838
Trade and Finance,8,2.1628557561227613
Trade and Finance,9,2.156014907819026
Trade and Finance,10,2.1495133924462673
Utilities and Transport,1,2.20052461030551
Utilities and Transport,2,2.1892609870216795
Utilities and Transport,3,2.1789151851801636
Utilities and Transport,4,2.169388121872262
Utilities and Transport,5,2.1605936048875396
Utilities and Transport,6,2.1524563955707565
Utilities and Transport,7,2.144910603195771
Utilities and Transport,8,2.1378983466952217
Utilities and Transport,9,2.131368633765729
Utilities and Transport,10,2.1252764173351313
