j,t,value
Heavy Industry and Manufacturing,1,42.91486462497542
Heavy Industry and Manufacturing,2,-32.169677274067396
Heavy Industry and Manufacturing,3,-67.86205093818563
Heavy Industry and Manufacturing,4,815.8265283354575
Heavy Industry and Manufacturing,5,-25.11460067399327
Heavy Industry and Manufacturing,6,-97.38599257367025
Heavy Industry and Manufacturing,7,-306.1252797496459
Heavy Industry and Manufacturing,8,-1610.0892034994758
Heavy Industry and Manufacturing,9,96.47582102990692
Heavy Industry and Manufacturing,10,27.805770614360938
Primary and Light Industry,1,42.91486462497189
Primary and Light Industry,2,-32.16967727406668
Primary and Light Industry,3,-67.86205093818532
Primary and Light Industry,4,815.8265283357725
Primary and Light Industry,5,-25.11460067401936
Primary and Light Industry,6,-97.3859925736701
Primary and Light Industry,7,-306.12527974962546
Primary and Light Industry,8,-1610.0892034995322
Primary and Light Industry,9,96.47582102990671
Primary and Light Industry,10,27.80577061436016
Social and Professional Services,1,42.91486462497327
Social and Professional Services,2,-32.16967727406734
Social and Professional Services,3,-67.86205093818536
Social and Professional Services,4,815.8265283354284
Social and Professional Services,5,-25.11460067399106
Social and Professional Services,6,-97.38599257367017
Social and Professional Services,7,-306.12527974963257
Social and Professional Services,8,-1610.089203499524
Social and Professional Services,9,96.47582102990688
Social and Professional Services,10,27.805770614360803
Trade and Finance,1,42.91486462497327
Trade and Finance,2,-32.169677274067155
Trade and Finance,3,-67.86205093818545
Trade and Finance,4,815.8265283352819
Trade and Finance,5,-25.114600673979346
Trade and Finance,6,-97.38599257367031
Trade and Finance,7,-306.12527974964394
Trade and Finance,8,-1610.0892034995277
Trade and Finance,9,96.47582102990688
Trade and Finance,10,27.805770614361293
Utilities and Transport,1,42.91486462497356
Utilities and Transport,2,-32.16967727406734
Utilities and Transport,3,-67.86205093818532
Utilities and Transport,4,815.8265283357533
Utilities and Transport,5,-25.11460067401782
Utilities and Transport,6,-97.38599257367015
Utilities and Transport,7,-306.12527974963297
Utilities and Transport,8,-1610.089203499514
Utilities and Transport,9,96.47582102990665
Utilities and Transport,10,27.805770614360913
