i,t,value
Heavy Industry and Manufacturing,1,-687.5258141858274
Heavy Industry and Manufacturing,2,28.086763085639532
Heavy Industry and Manufacturing,3,-41.801203456236394
Heavy Industry and Manufacturing,4,20.42220351711277
Heavy Industry and Manufacturing,5,38.82763756568599
Heavy Industry and Manufacturing,6,42.20939822282694
Heavy Industry and Manufacturing,7,-105.67809475680012
Heavy Industry and Manufacturing,8,-2197.4839901045434
Heavy Industry and Manufacturing,9,-40.15666675657571
Heavy Industry and Manufacturing,10,-7.229713680476735
Primary and Light Industry,1,-687.5258141858405
Primary and Light Industry,2,28.086763085639067
Primary and Light Industry,3,-41.801203456236195
Primary and Light Industry,4,20.422203517112504
Primary and Light Industry,5,38.82763756568623
Primary and Light Industry,6,42.20939822282696
Primary and Light Industry,7,-105.67809475680012
Primary and Light Industry,8,-2197.483990104546
Primary and Light Industry,9,-40.15666675657492
Primary and Light Industry,10,-7.229713680477989
Social and Professional Services,1,-687.5258141858271
Social and Professional Services,2,28.08676308563951
Social and Professional Services,3,-41.801203456236344
Social and Professional Services,4,20.422203517112525
Social and Professional Services,5,38.82763756568623
Social and Professional Services,6,42.20939822282694
Social and Professional Services,7,-105.67809475680016
Social and Professional Services,8,-2197.483990104524
Social and Professional Services,9,-40.15666675657544
Social and Professional Services,10,-7.229713680477046
Trade and Finance,1,-687.5258141858284
Trade and Finance,2,28.0867630856392
Trade and Finance,3,-41.801203456236244
Trade and Finance,4,20.422203517112393
Trade and Finance,5,38.82763756568644
Trade and Finance,6,42.209398222826835
Trade and Finance,7,-105.67809475680023
Trade and Finance,8,-2197.4839901045048
Trade and Finance,9,-40.15666675657498
Trade and Finance,10,-7.229713680477801
Utilities and Transport,1,-687.5258141857424
Utilities and Transport,2,28.086763085640264
Utilities and Transport,3,-41.80120345623697
Utilities and Transport,4,20.422203517113658
Utilities and Transport,5,38.82763756568548
Utilities and Transport,6,42.20939822282703
Utilities and Transport,7,-105.67809475680012
Utilities and Transport,8,-2197.4839901045425
Utilities and Transport,9,-40.156666756575795
Utilities and Transport,10,-7.2297136804764905
