i,t,value
Heavy Industry and Manufacturing,1,-127.15718533677436
Heavy Industry and Manufacturing,2,-178.63388858514247
Heavy Industry and Manufacturing,3,4092.3297547546517
Heavy Industry and Manufacturing,4,-105.26276976535014
Heavy Industry and Manufacturing,5,-69367.82733653024
Heavy Industry and Manufacturing,6,-98.4779855796034
Heavy Industry and Manufacturing,7,-74.64349123175182
Heavy Industry and Manufacturing,8,34.94045035850066
Heavy Industry and Manufacturing,9,-103.00760344574151
Heavy Industry and Manufacturing,10,-4030.5880326197084
Primary and Light Industry,1,-127.15718533677436
Primary and Light Industry,2,-178.63388858514247
Primary and Light Industry,3,4092.3297547546517
Primary and Light Industry,4,-105.26276976535014
Primary and Light Industry,5,-69367.82733653024
Primary and Light Industry,6,-98.4779855796034
Primary and Light Industry,7,-74.64349123175182
Primary and Light Industry,8,34.94045035850066
Primary and Light Industry,9,-103.00760344574151
Primary and Light Industry,10,-4030.5880326197084
Social and Professional Services,1,-127.15718533677436
Social and Professional Services,2,-178.63388858514247
Social and Professional Services,3,4092.3297547546517
Social and Professional Services,4,-105.26276976535014
Social and Professional Services,5,-69367.82733653024
Social and Professional Services,6,-98.4779855796034
Social and Professional Services,7,-74.64349123175182
Social and Professional Services,8,34.94045035850066
Social and Professional Services,9,-103.00760344574151
Social and Professional Services,10,-4030.5880326197084
Trade and Finance,1,-127.15718533677436
Trade and Finance,2,-178.63388858514247
Trade and Finance,3,4092.3297547546517
Trade and Finance,4,-105.26276976535014
Trade and Finance,5,-69367.82733653024
Trade and Finance,6,-98.4779855796034
Trade and Finance,7,-74.64349123175182
Trade and Finance,8,34.94045035850066
Trade and Finance,9,-103.00760344574151
Trade and Finance,10,-4030.5880326197084
Utilities and Transport,1,-127.15718533677436
Utilities and Transport,2,-178.63388858514247
Utilities and Transport,3,4092.3297547546517
Utilities and Transport,4,-105.26276976535014
Utilities and Transport,5,-69367.82733653024
Utilities and Transport,6,-98.4779855796034
Utilities and Transport,7,-74.64349123175182
Utilities and Transport,8,34.94045035850066
Utilities and Transport,9,-103.00760344574151
Utilities and Transport,10,-4030.5880326197084
