j,t,value
Heavy Industry and Manufacturing,1,2.3203460190165837
Heavy Industry and Manufacturing,2,2.305662894412719
Heavy Industry and Manufacturing,3,2.291810932793781
Heavy Industry and Manufacturing,4,2.278730222037062
Heavy Industry and Manufacturing,5,2.2663664928073812
Heavy Industry and Manufacturing,6,2.2546704181068966
Heavy Industry and Manufacturing,7,2.2435970243914527
Heavy Industry and Manufacturing,8,2.2331051926075762
Heavy Industry and Manufacturing,9,2.2231572322941373
Heavy Industry and Manufacturing,10,2.213718515674157
Primary and Light Industry,1,2.06965918442803
Primary and Light Industry,2,2.070113448894717
Primary and Light Industry,3,2.070468303362838
Primary and Light Industry,4,2.0707205310575905
Primary and Light Industry,5,2.0708692871273637
Primary and Light Industry,6,2.0709155579664573
Primary and Light Industry,7,2.07086172794515
Primary and Light Industry,8,2.0707112317670084
Primary and Light Industry,9,2.0704682752051395
Primary and Light Industry,10,2.070137610980005
Social and Professional Services,1,2.125466030678713
Social and Professional Services,2,2.120430205289936
Social and Professional Services,3,2.115679627831968
Social and Professional Services,4,2.1111895912222067
Social and Professional Services,5,2.1069383815585097
Social and Professional Services,6,2.10290682301848
Social and Professional Services,7,2.0990779050852115
Social and Professional Services,8,2.095436474851775
Social and Professional Services,9,2.091968981246839
Social and Professional Services,10,2.0886632610431777
Trade and Finance,1,2.1718293935811817
Trade and Finance,2,2.1645751558040827
Trade and Finance,3,2.1577644226998594
Trade and Finance,4,2.151356417134309
Trade and Finance,5,2.1453154205278935
Trade and Finance,6,2.1396100042240906
Trade and Finance,7,2.1342123975158334
Trade and Finance,8,2.1290979645737895
Trade and Finance,9,2.124244768863437
Trade and Finance,10,2.119633208351779
Utilities and Transport,1,2.1191388777882514
Utilities and Transport,2,2.116724546179194
Utilities and Transport,3,2.114143302664373
Utilities and Transport,4,2.111444359620984
Utilities and Transport,5,2.1086672909182314
Utilities and Transport,6,2.1058438976337968
Utilities and Transport,7,2.1029996930761907
Utilities and Transport,8,2.1001550900720423
Utilities and Transport,9,2.0973263547207743
Utilities and Transport,10,2.0945263750847376
