i,t,value
Heavy Industry and Manufacturing,1,2.101352516726429
Heavy Industry and Manufacturing,2,2.0991373489711806
Heavy Industry and Manufacturing,3,2.0969165658303757
Heavy Industry and Manufacturing,4,2.094696540366847
Heavy Industry and Manufacturing,5,2.0924829241932175
Heavy Industry and Manufacturing,6,2.0902807123232003
Heavy Industry and Manufacturing,7,2.0880943035210597
Heavy Industry and Manufacturing,8,2.0859275560485724
Heavy Industry and Manufacturing,9,2.0837838389424324
Heavy Industry and Manufacturing,10,2.081666078975042
Primary and Light Industry,1,1.9323614089421959
Primary and Light Industry,2,1.9406692683473281
Primary and Light Industry,3,1.9483523772749978
Primary and Light Industry,4,1.9554492272536361
Primary and Light Industry,5,1.961996553567169
Primary and Light Industry,6,1.9680293247947178
Primary and Light Industry,7,1.973580753089843
Primary and Light Industry,8,1.9786823202198933
Primary and Light Industry,9,1.9833638156967703
Primary and Light Industry,10,1.9876533838536048
Social and Professional Services,1,2.1687950467796258
Social and Professional Services,2,2.1590704960677387
Social and Professional Services,3,2.1500409478607763
Social and Professional Services,4,2.1416475287581394
Social and Professional Services,5,2.1338371559981972
Social and Professional Services,6,2.1265618745174075
Social and Professional Services,7,2.1197782827721
Social and Professional Services,8,2.1134470335014477
Social and Professional Services,9,2.107532398061518
Social and Professional Services,10,2.102001884950888
Trade and Finance,1,2.2019568320936544
Trade and Finance,2,2.192116216925788
Trade and Finance,3,2.1828128987798845
Trade and Finance,4,2.174017521343674
Trade and Finance,5,2.165701882974802
Trade and Finance,6,2.157839005751283
Trade and Finance,7,2.1504031707070936
Trade and Finance,8,2.1433699276028895
Trade and Finance,9,2.1367160857140632
Trade and Finance,10,2.1304196906464234
Utilities and Transport,1,2.2577384578010395
Utilities and Transport,2,2.2392805961044315
Utilities and Transport,3,2.222626751372059
Utilities and Transport,4,2.2075589383981242
Utilities and Transport,5,2.1938898710511134
Utilities and Transport,6,2.1814580355589364
Utilities and Transport,7,2.170123656354317
Utilities and Transport,8,2.1597653736768585
Utilities and Transport,9,2.1502774922206758
Utilities and Transport,10,2.141567691504953
