i,t,value
Heavy Industry and Manufacturing,1,2.1258175441577265
Heavy Industry and Manufacturing,2,2.1212254118400775
Heavy Industry and Manufacturing,3,2.1168562310043493
Heavy Industry and Manufacturing,4,2.1126931939952076
Heavy Industry and Manufacturing,5,2.1087213371197233
Heavy Industry and Manufacturing,6,2.1049272913991945
Heavy Industry and Manufacturing,7,2.10129907114589
Heavy Industry and Manufacturing,8,2.0978258941428685
Heavy Industry and Manufacturing,9,2.0944980282805004
Heavy Industry and Manufacturing,10,2.0913066604036246
Primary and Light Industry,1,1.8619808117714243
Primary and Light Industry,2,1.87701425016773
Primary and Light Industry,3,1.8908554734632155
Primary and Light Industry,4,1.9035845376524696
Primary and Light Industry,5,1.915277456809683
Primary and Light Industry,6,1.9260062014779367
Primary and Light Industry,7,1.9358387421163137
Primary and Light Industry,8,1.9448391274248689
Primary and Light Industry,9,1.9530675893165705
Primary and Light Industry,10,1.9605806677911897
Social and Professional Services,1,2.2279561505625267
Social and Professional Services,2,2.2111572180777195
Social and Professional Services,3,2.1958918748987033
Social and Professional Services,4,2.1819972429840906
Social and Professional Services,5,2.1693302822661575
Social and Professional Services,6,2.1577650057746034
Social and Professional Services,7,2.147190144666866
Social and Professional Services,8,2.1375071807507418
Social and Professional Services,9,2.1286286808531285
Social and Professional Services,10,2.1204768803640084
Trade and Finance,1,2.1924963782790075
Trade and Finance,2,2.183815440994774
Trade and Finance,3,2.1755123828563816
Trade and Finance,4,2.1675798067160468
Trade and Finance,5,2.160008473068964
Trade and Finance,6,2.152787777110232
Trade and Finance,7,2.1459061367277155
Trade and Finance,8,2.139351306993853
Trade and Finance,9,2.133110634029345
Trade and Finance,10,2.1271712589165714
Utilities and Transport,1,2.237657190494291
Utilities and Transport,2,2.22143665364396
Utilities and Transport,3,2.206744062958288
Utilities and Transport,4,2.1933983112380817
Utilities and Transport,5,2.181243523060372
Utilities and Transport,6,2.1701450590449145
Utilities and Transport,7,2.1599862282568383
Utilities and Transport,8,2.1506655696255095
Utilities and Transport,9,2.1420945932273394
Utilities and Transport,10,2.134195895394564
