j,t,value
Heavy Industry and Manufacturing,1,2.361955138143168
Heavy Industry and Manufacturing,2,2.343467723202508
Heavy Industry and Manufacturing,3,2.3261694996934423
Heavy Industry and Manufacturing,4,2.3099680418851243
Heavy Industry and Manufacturing,5,2.294779270273528
Heavy Industry and Manufacturing,6,2.28052658659319
Heavy Industry and Manufacturing,7,2.267140112480459
Heavy Industry and Manufacturing,8,2.254556017247511
Heavy Industry and Manufacturing,9,2.242715922622285
Heavy Industry and Manufacturing,10,2.2315663742430436
Primary and Light Industry,1,1.8420791971087258
Primary and Light Industry,2,1.8611712640753675
Primary and Light Industry,3,1.8787223057255442
Primary and Light Industry,4,1.8948341322755358
Primary and Light Industry,5,1.9096040128278924
Primary and Light Industry,6,1.9231245036277045
Primary and Light Industry,7,1.935483370655966
Primary and Light Industry,8,1.946763586212752
Primary and Light Industry,9,1.9570433830135237
Primary and Light Industry,10,1.966396352456612
Social and Professional Services,1,2.175358575084485
Social and Professional Services,2,2.1645611624761862
Social and Professional Services,3,2.1546315777770664
Social and Professional Services,4,2.1454853249686545
Social and Professional Services,5,2.137047537449077
Social and Professional Services,6,2.1292516940113693
Social and Professional Services,7,2.1220385352060944
Social and Professional Services,8,2.1153551440513674
Social and Professional Services,9,2.1091541623168286
Social and Professional Services,10,2.1033931193159328
Trade and Finance,1,2.22860202181967
Trade and Finance,2,2.218848861596401
Trade and Finance,3,2.209531048865543
Trade and Finance,4,2.200633567392418
Trade and Finance,5,2.1921409190571284
Trade and Finance,6,2.1840373439562244
Trade and Finance,7,2.176307002158917
Trade and Finance,8,2.1689341221827307
Trade and Finance,9,2.1619031208284234
Trade and Finance,10,2.1551986985373306
Utilities and Transport,1,2.214212731638976
Utilities and Transport,2,2.2024324751540814
Utilities and Transport,3,2.1915611142275804
Utilities and Transport,4,2.1815061612989295
Utilities and Transport,5,2.172186593410852
Utilities and Transport,6,2.163531198645341
Utilities and Transport,7,2.1554771944710227
Utilities and Transport,8,2.1479690675476393
Utilities and Transport,9,2.1409575949870474
Utilities and Transport,10,2.1343990151742487
